Source,Target,Type,Id,Label,timeset,Weight,direccionalidad,conector,relación,interacciones,convenio,éxito,¿por qué?,razón no éxito,id interno
Instituto UNIVITA,CGEMSYS,Directed,0,,,5,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,1,Sí,Sí,Se lograron acuerdos con otras instituciones y catálogo de servicios general,,OAX1001
ProMéxico,COCITEI,Directed,1,,,1,Alguien más nos conectó,Gob. de OAX,Intercambio de conocimiento y mejores prácticas,2,No,No,No se concluyeron los trabajos enfocados en el desarrollo tecnológico de las empresas,Falta de resultados esperados,OAX1002
UTVCO,CONACYT,Directed,2,,,4,Nosotros los buscamos,,Obtención de recursos monetarios,10,Sí,Sí,"Si, ya que se ha logrado ingresar a las convocatorias",,OAX1003
Dir. de Economía del Mpio. de Oaxaca de Juárez,"Coord. de las Culturas, Turismo y Economía del Mpio. de Oaxaca",Directed,3,,,5,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,1,No,Sí,Se logró el objetivo en vinculacio. Para el desarrollo de proyectos,,OAX1004
COPLADE,UABJO,Directed,4,,,3,Ellos nos buscaron,,Desarrollo de un proyecto conjunto,5,No,Sí,se concretaron la incorporacion de personal capacitado para la realizacion de proyectos,,OAX1005
Gob. de OAX,COGNITIVO,Directed,5,,,5,Ellos nos buscaron,,Intercambio de conocimiento y mejores prácticas,5,Sí,Sí,"Por que se diseñó el proyecto de una iniciativa de ley para el joven emprendedor en Oaxaca, ley que fue aprobada en el año 2013",,OAX1006
Gob. de OAX,UABJO,Directed,6,,,3,Ellos nos buscaron,,Desarrollo de un proyecto conjunto,5,Sí,Sí,Se concretan la incorporacion de personal capacitado para la elaboracion de los proyectos,,OAX1007
Gob. de OAX,UTVCO,Directed,7,,,5,Ellos nos buscaron,,Intercambio de conocimiento y mejores prácticas,1,No,Sí,Por que se lograron los objetivos de capacitación establecidos y actualización,,OAX1008
Dir. Clústers de la SE OAX,INADEM,Directed,8,,,5,Nosotros los buscamos,,Obtención de recursos monetarios,2,Sí,Sí,Aplicación de recursos a los proyectos estratégicos,,OAX1009
IODEMC,INADEM,Directed,9,,,4,Nosotros los buscamos,,Obtención de recursos monetarios,10,Sí,Sí,"Ha sido exitosa desde el punto e vista que hemos logrado concretar y fondear proyectos, sin embargo, no ha sido de la mejor manera, dado que muchos proyectos se quedan sin fondos, ya que la bolsa de recursos es reducida.",,OAX1010
IODEMC,INADEM,Directed,10,,,5,Nosotros los buscamos,,Obtención de recursos monetarios,5,No,Sí,"Nos han vinculado con MIT EF, Fundación Televisa y PNUD.",,OAX1011
COGNITIVO,INADEM,Directed,11,,,5,Nosotros los buscamos,,Obtención de recursos monetarios,10,Sí,Sí,COGNITIVO cuenta con el convenio de aliado clave por parte del INADEM. Siendo uno de sus principales articuladores que ofrece programas y servicios frecuentes ofertados por COGNITIVO a su red de emprendedores.,,OAX1012
FabLab Oax,INADEM,Directed,12,,,1,Nosotros los buscamos,,Obtención de recursos monetarios,1,No,No se logró colaborar,La convocatoria no estaba dirigida a la organizacion,Objetivos/intereses no alineados,OAX1013
Oaxaca Activa,INADEM,Directed,13,,,4,Nosotros los buscamos,,Acceso a red de contactos,2,No,Sí,Porque se obtuvo un reconocimiento dando mayor certeza y seguridad a los emprendedores,,OAX1014
SICADEM,INADEM,Directed,14,,,3,Nosotros los buscamos,,Obtención de recursos monetarios,30,No,Sí,REALMENTE LA COLABORACIÓN PARA QUE NOS ACEPTARAN COMO INCUBADORA FUE EXITOSA PERO TARDADO Y HASTA AHORITA ES UNA BUENA DE VINCULACIÓN Y EN LA PARTICIPACIÓN DE LAS CONVOCATORIAS HEMOS SALIDO BENEFICIADOS PERO SIN RECURSOS Y EN ESTE CASO LO VEO UN POCO EXITOSA.,,OAX1015
UTSSO,INADEM,Directed,15,,,2,Nosotros los buscamos,,Obtención de recursos monetarios,1,No,No se logró colaborar,Aún no se tiene respuesta,Falta de seguimiento,OAX1016
UTVCO,INADEM,Directed,16,,,5,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,40,Sí,Sí,Porque el convenio se basa en la transmisión de convocatorias,,OAX1017
UTVCO,INADEM,Directed,17,,,5,Nosotros los buscamos,,Acceso a red de contactos,3,Sí,Sí,Por el impacto y el nivel de vinculación que adquirió la Universidad al tener una incubadora reconocida a nivel Federal,,OAX1018
Disruptech IT,INADEM,Directed,18,,,3,Nosotros los buscamos,,Obtención de recursos monetarios,5,Sí,Sí,por que todos los proyectos llegaron a buen termino,,OAX1019
INADEM,Enactus UTM,Directed,19,,,4,Ellos nos buscaron,,Intercambio de conocimiento y mejores prácticas,1,Sí,Sí,Me ayudo a conocer otras organizaciones como están trabajando y establecer relaciones,,OAX1020
Dir. de Economía del Mpio. de Oaxaca de Juárez,IODEMC,Directed,20,,,2,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,1,No,Sí,Se vincularon varios emprendedores,,OAX1021
CIDES,IODEMC,Directed,21,,,5,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,6,No,Sí,por toda la información que nos brinda.,,OAX1022
IODEMC,CIIE ITP,Directed,22,,,2,Ellos nos buscaron,,Intercambio de conocimiento y mejores prácticas,1,Sí,Sí,Porque nos certificamos como directores de centros de incubación y ellos nos contactaron,,OAX1023
CIIE ITP,IODEMC,Directed,23,,,4,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,1,Sí,Sí,Porque la colaboración eficiencia para asesorar a los empresarios que solicitan recursos económicos para emprender con base en sus convocatorias,,OAX1024
CIIE ITVE,IODEMC,Directed,24,,,4,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,2,Sí,Sí,intercambiamos,,OAX1025
IODEMC,CIIE UNCA,Directed,25,,,5,Ellos nos buscaron,,Acceso a red de contactos,1,Sí,Sí,Gracias a esta colaboración se pudieron constituir dos micro empresas.,,OAX1026
COGNITIVO,IODEMC,Directed,26,,,5,Nosotros los buscamos,,Obtención de recursos monetarios,5,Sí,Sí,"COGNITIVO, en la actualidad, figura dentro de su red de aliados de incubadoras con el mayor indice de satisfacción por parte de sus emprendedores.",,OAX1027
IODEMC,FabLab Oax,Directed,27,,,3,Ellos nos buscaron,,Obtención de recursos monetarios,2,No,No se logró colaborar,La propuesta no estaba dentro de su target de público a la que atendía,Objetivos/intereses no alineados,OAX1028
INITED,IODEMC,Directed,28,,,3,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,4,Sí,Sí,Se estableció un convenio de colaboración y se colabora actualmente en distintas actividades y eventos de ambas partes.,,OAX1029
IODEMC,ITISTMO,Directed,29,,,4,Ellos nos buscaron,,Desarrollo de un proyecto conjunto,4,Sí,Sí,"Porque ha tenido un plan de trabajo frecuente y constante a favor del emprendimiento y de la competitividad de los empresarios, es un Instituto de nueva creación. Con ellos estamos conformados en una red de incubadoras.",,OAX1030
IODEMC,ITSAL,Directed,30,,,4,Ellos nos buscaron,,Obtención de recursos monetarios,2,Sí,Sí,Hemos desarrollado juntos la posibilidad de la gestión del conocimiento.,,OAX1031
ITSAL,IODEMC,Directed,31,,,5,Nosotros los buscamos,,Cobertura mediática,6,Sí,Sí,Al día de hoy nos siguen apoyando en la difusión y promoción del nuestro CIIE,,OAX1032
ITVO,IODEMC,Directed,32,,,5,Nosotros los buscamos,,Acceso a red de contactos,3,Sí,Sí,HA PERMITIDO INVOLUCRAR A NUESTROS ESTUDIANTES A CUESTIONES INNOVADORAS Y TAMBIEN NOS VINCULO AL INSTITUTO MEXICANO DE LA PROPIEDAD INTELECTUAL (IMPI),,OAX1033
Oaxaca Activa,IODEMC,Directed,33,,,5,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,2,Sí,Sí,Se han apoyado a 34 emprendedores en el estado,,OAX1034
PEDADI,IODEMC,Directed,34,,,5,Nosotros los buscamos,,Obtención de recursos monetarios,1,Sí,Sí,"A TRAVES DEL APOYO DEL IODEMC SE OBTUVO UNA BECA DE INCUBACION CON LA INCUBADORA DE NEGOCIOS COGNITIVO DE LA UTVCO, LO QUE A SU VEZ PERMITIO LA PARTICIPACION DEL INSTITUTO PEDADI EN EL PROGRAMA DE INCUBACION EN LINEA DEL INSTITUTO NACIONAL DEL EMPRENDEDOR (INADEM) LOGRANDO CONCLUIRLO EXITOSAMENTE. GRACIAS A ESTE PROCESO DE INCUBACION SE LOGRO ACCEDER A UNA CONVOCATORIA Y POSTERIORMENTE A UN CREDITO EMPRESARIAL QUE PERMITIO ADQUIRIR LA LICENCIA DE USO DE UNA METODOLOGIA DE EMPRENDIMIENTO RECONOCIDA POR EL INADEM ""BUSINESSKIDS"". ADEMAS SE LOGRO LA PARTICIPACION DEL INSTITUTO PEDADI EN DIVERSOS CURSOS DE EMPRENDIMIENTO, NEGOCIOS, EDUCACION FINANCIERA Y OTROS IMPARTIDOS POR EL PROPIO IODEMC U OTRA INSTANCIA AFILIADA AL IODEMC COMO LA UNIVERSIDAD ANAHUAC CAMPUS OAXACA.",,OAX1035
Primero Por Ti,IODEMC,Directed,35,,,1,Nosotros los buscamos,,Acceso a red de contactos,10,Sí,No,Aunque ya terminamos de formalizar el convenio no se ha realizado al día de hoy ningún trabajo juntos,Falta de seguimiento,OAX1036
Primero Por Ti,IODEMC,Directed,36,,,4,Nosotros los buscamos,,Obtención de recursos monetarios,1,Sí,Sí,Seguimos trabajando juntos e incluso se a mejorado y fortalecido la vinculación,,OAX1037
SICADEM,IODEMC,Directed,37,,,4,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,2,Sí,Sí,"Ambas partes hemos trabajado para que la colaboración se realice el IODEMC nos apoya para que las actividades, talleres o cursos hagan la invitación, tanto para nosotros como para los clientes que tenemos. nosotros en la aportación de algunas capacitaciones y participación en actividades.",,OAX1038
SUM OAX,IODEMC,Directed,38,,,3,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,12,No,Sí,Pues desarrollamos programas de incubación y consultoría.,,OAX1039
UTSSO,IODEMC,Directed,39,,,4,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,6,No,Sí,Brindan la oportunidad de tener más información y te capacitación en temas que se presentan día a día,,OAX1040
UTSSO,IODEMC,Directed,40,,,4,Nosotros los buscamos,,Acceso a red de contactos,6,No,Sí,Nos ayudan a conectar con la red de aliados y tener contacto con incubandos,,OAX1041
UTVCO,IODEMC,Directed,41,,,5,Nosotros los buscamos,,Acceso a red de contactos,1,Sí,Sí,Se han concretados resultado de todas las colaboraciones,,OAX1042
IODEMC,ProMéxico,Directed,42,,,3,Ellos nos buscaron,,Desarrollo de un proyecto conjunto,1,No,Sí,Porque organizamos un foro de desarrollo para MPyMES de Oaxaca,,OAX1043
IODEMC,TV por Internet,Directed,43,,,4,Ellos nos buscaron,,Intercambio de conocimiento y mejores prácticas,1,No,Sí,"Nos invitan a sus eventos, acceso directo con su director",,OAX1044
Enactus UTM,IODEMC,Directed,44,,,2,Nosotros los buscamos,,Acceso a red de contactos,2,No,Sí,"Lo que buscábamos en ese momento era asesoría con su metodología de emprendimiento, y la obtuvimos",,OAX1045
Jóvenes COPARMEX,Mpio. de Oaxaca de Juárez,Directed,45,,,3,Nosotros los buscamos,,Obtención de recursos monetarios,20,No,Sí,Se sigue trabajando y aportando,,OAX1046
ITESM OAX,Mpio. de Oaxaca de Juárez,Directed,46,,,4,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,9,Sí,Sí,Se realizaron convenios de maestría para diferentes sectores y un plan de desarrollo municipal,,OAX1047
PEDADI,Mpio. de Oaxaca de Juárez,Directed,47,,,5,Nosotros los buscamos,,Obtención de recursos monetarios,1,No,Sí,"GRACIAS A LA INTERVENCION DEL H. AYUNTAMIENTO DE OAXACA DE JUAREZ, OAXACA, SE LOGRARON DISMINUIR LOS COSTOS DE REALIZACION DE LA PRIMERA (2017) Y SEGUNDA (2018) FERIAS ANUALES EDUCATIVAS DE EMPRENDIMIENTO INFANTIL REALIZADAS EN EL PASEO JUAREZ ""EL LLANO"", PARQUE ESTRATEGICO UBICADO EN EL MUNICIPIO DE OAXACA DE JUAREZ, DANDO OPORTUNIDAD A LOS PEQUEÑOS EMPRENDEDORES DE EXPONER SUS IDEAS A LA SOCIEDAD OAXAQUEÑA.",,OAX1048
Oaxaca Activa,Mpio. de Santa Cruz Xoxocotlán,Directed,48,,,2,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,1,No,Sí,"La vinculación fue exitosa, por que se logro el objetivo trabajar un proyecto de capacitación, y atención a los empresarios de ese municipio.",,OAX1049
Mpio. de Villa Sola de Vega,UTSSO,Directed,49,,,2,Ellos nos buscaron,,Desarrollo de un proyecto conjunto,2,No,No se logró colaborar,No habido respuesta,Falta de seguimiento,OAX1050
ITVO,SAGARPA,Directed,50,,,5,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,3,Sí,Sí,SE HAN LOGRADO MUCHOS CURSOS DE CAPACITACIÓN DE EMPRENDIMIENTO A NUESTROS ESTUDIANTES,,OAX1051
UTSSO,SAGARPA,Directed,51,,,2,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,1,No,No se logró colaborar,No han dado respuesta,Falta de seguimiento,OAX1052
UTVCO,SAGARPA,Directed,52,,,4,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,8,Sí,Sí,Por el impacto que generó en el sector productivo,,OAX1053
SE,CIIE ITP,Directed,53,,,2,Ellos nos buscaron,,Intercambio de conocimiento y mejores prácticas,1,No,Sí,Porque nos certificamos en sus instalaciones y hemos recibido invitación para otros eventos,,OAX1054
COGNITIVO,SE,Directed,54,,,5,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,2,Sí,Sí,"Por que capacitaron de manera complementaria a nuestros emprendedores en un simulador de negocios, y nos compartían convocatorias públicas de apoyo y nos invitaban a eventos",,OAX1055
ITISTMO,SE,Directed,55,,,3,Nosotros los buscamos,,Obtención de recursos en especie,3,No,Sí,Porque desde el inicio de la relación con el contacto han avanzado las actividades progresivamente a favor de los temas de emprendimiento e innovación empresarial,,OAX1056
ITVO,SE,Directed,56,,,5,Nosotros los buscamos,,Acceso a red de contactos,3,No,Sí,NOS HA BRINDADO ASESORIA SOBRE PATENTES Y REDES DE EMPRENDIMIENTO LOCALES,,OAX1057
Oaxaca Activa,SE,Directed,57,,,2,Nosotros los buscamos,,Obtención de recursos en especie,1,Sí,No,"Inicialmente funcionó la colaboración, pero en una segunda oportunidad no obtuvimos volver a trabajar, muy posiblemente por confusión de las reglas para aplicar a convocatoria y falta de comunicación.",Esquema mal definido,OAX1058
SEAC,SE,Directed,58,,,2,Alguien más nos conectó,TV por Internet,Acceso a red de contactos,1,Sí,Sí,Porque se establecieron contactos con el sector público,,OAX1059
UABJO,SE,Directed,59,,,3,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,5,No,Sí,Se logra la incorporacion de gente altamente capacitada para la elaboracion de proyectos,,OAX1060
TV por Internet,SE,Directed,60,,,4,Nosotros los buscamos,,Obtención de recursos monetarios,5,No,Sí,"Nos abren las puertas, nos invitan a eventos",,OAX1061
UTSSO,SE,Directed,61,,,2,Nosotros los buscamos,,Obtención de recursos monetarios,2,No,No se logró colaborar,Por que no se ha dado una resolución,Falta de seguimiento,OAX1062
UABJO,SEDATU,Directed,62,,,4,Nosotros los buscamos,,Obtención de recursos en especie,5,Sí,Sí,Se proporcionaron los recursos,,OAX1063
CEC-IPN Oaxaca,SE OAX,Directed,63,,,3,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,20,No,Sí,Porque se han envuelto en los proyectos de los emprendedores capacitados por el CEC Unidad Oaxaca,,OAX1064
ITVO,SE OAX,Directed,64,,,4,Nosotros los buscamos,,Acceso a red de contactos,3,Sí,Sí,SE HA LOGRADO COLOCAR A PRESTADORES DE SERVICIO SOCIAL CON PEQUEÑOS PRODUCTORES DE MEZCAL DEL ESTADO DE OAXACA PARA GENERARLES PROYECTOS QUE DETONEN SU EMPRESA,,OAX1065
UTVCO,SE OAX,Directed,65,,,4,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,10,Sí,Sí,Se desarrollan proyectos en conjunto y colaboran siempre en eventos,,OAX1066
ProMéxico,SE OAX,Directed,66,,,4,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,2,Sí,Sí,Porque se han concretado acciones conjuntas como eventos de promoción internacional,,OAX1067
Disruptech IT,SE OAX,Directed,67,,,3,Nosotros los buscamos,,Obtención de recursos monetarios,10,No,Sí,por que ya se han realizado varios proyectos eme conjunto.,,OAX1068
Disruptech IT,SE OAX,Directed,68,,,3,Nosotros los buscamos,,Acceso a red de contactos,6,No,Sí,por que se pudo acceder a otros habilitadores,,OAX1069
Comunidad Arduino,FabLab Oax,Directed,69,,,4,Ellos nos buscaron,,Intercambio de conocimiento y mejores prácticas,2,Sí,Sí,Se ha colaborado en la realización de eventos en conjunto,,OAX1070
Comunidad de Software Libre,FabLab Oax,Directed,70,,,5,Ellos nos buscaron,,Intercambio de conocimiento y mejores prácticas,2,Sí,Sí,"Nuestros objetivos se alinean a,la de ellos",,OAX1071
SUM OAX,FUN,Directed,71,,,5,Alguien más nos conectó,Austria,Obtención de recursos monetarios,5,Sí,Sí,Pues se implementó la metodología y se desarrollan eventos de forma periódica.,,OAX1072
COGNITIVO,IDEADORES,Directed,72,,,3,Alguien más nos conectó,Cursolab,Intercambio de conocimiento y mejores prácticas,2,No,No,"Ideadores era un colectivo de emprendimientos enfocado a las TICS, pero el grupo perdió el interés de su cooperación y se fue diluyendo el esfuerzo",Objetivos/intereses no alineados,OAX1073
Inviértete,ITESM OAX,Directed,73,,,3,Ellos nos buscaron,,Intercambio de conocimiento y mejores prácticas,2,Sí,Sí,Logramos interactuar con sus alumnos quienes desarrollan sowftware para que se motiven en seguir preparándose,,OAX1074
LoopTalks,oaxaca.rb,Directed,74,,,2,Alguien más nos conectó,Un miembro de la comunidad,Intercambio de conocimiento y mejores prácticas,2,No,Sí,Charlas varias sobre aplicación práctica de la tecnologia,,OAX1075
CEC-IPN Oaxaca,CIIDIR,Directed,75,,,4,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,1,No,Sí,"Existe una mayor colaboración en intercambio de conocimiento, capacitación y mejora de proyectos.",,OAX1076
ITVO,CIIDIR,Directed,76,,,5,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,5,Sí,Sí,"HA PERMITIDO EL INTERCAMBIO DE IDEAS, RESIDENTES PROFESIONALES Y ASISTENCIA MUTUA EN PROYECTOS DE INVESTIGACIÓN Y DESARROLLO",,OAX1077
CIITEC-IPN,CEC-IPN Oaxaca,Directed,77,,,4,Ellos nos buscaron,,Intercambio de conocimiento y mejores prácticas,1,No,Sí,Se capacitó a emprendedores para desarrollo de proyectos de innovación tecnológica.,,OAX1078
CIIE ITP,IPN,Directed,78,,,3,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,1,Sí,Sí,Para titular de forma presencial a varios estudiantes a través de cursos presenciales,,OAX1079
ITISTMO,IQH,Directed,79,,,5,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,3,Sí,Sí,"Porque el instituto nos ha apoyado en la formación de alumnos, buenas prácticas en incubación y la vinculación con los clústeres del estado de Querétaro",,OAX1080
Soutech,COGNITIVO,Directed,80,,,5,Ellos nos buscaron,,Desarrollo de un proyecto conjunto,3,Sí,Sí,"Se colaboró con 2 investigaciones una de ellas denominada ""Implementación de procesos biológicos y biotecnológicos para el aprovechamiento de los subproductos generados en la industria mezcalera del estado de Oaxaca"" estatus de la investigación en desarrollo",,OAX1081
UNAM,SICADEM,Directed,81,,,4,Ellos nos buscaron,,Intercambio de conocimiento y mejores prácticas,10,No,Sí,"La invitación para la participación al diplomado ""modelos de gestión de proyectos sociales"".",,OAX1082
UABJO,UNAM,Directed,82,,,4,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,4,Sí,Sí,Se genero el convenio,,OAX1083
CBTIS 123,CIDEH-Impulsa,Directed,83,,,5,Ellos nos buscaron,,Desarrollo de un proyecto conjunto,1,Sí,Sí,Incidencia en la comunidad joven,,OAX1084
INITED,CIDEH-Impulsa,Directed,84,,,4,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,2,Sí,Sí,Desarrollo de proyectos en conjunto,,OAX1085
CEC-IPN Oaxaca,CIEBT-IPN,Directed,85,,,4,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,4,No,Sí,Se puso en contacto al emprendedor con el CIEBT y se le dieron recomendaciones para mejorar su proyecto,,OAX1086
CIIE ITP,CIIE ITT,Directed,86,,,5,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,1,Sí,Sí,Se firmó el convenio de colaboración a través de la red de incubadoras del estado de Oaxaca que pertenecen al tecnológico nacional de México,,OAX1087
CIIE ITP,CIIE ITTL,Directed,87,,,5,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,1,Sí,Sí,Se formó una red de incubadoras del estado de Oaxaca pertenecientes al tecnológico nacional de México,,OAX1088
Oaxaca Activa,CIIE ITTL,Directed,88,,,2,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,1,No,Sí,"Se lograron los objetivos, y se sigue trabajando",,OAX1089
CIIE ITP,CIIE ITVE,Directed,89,,,5,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,1,Sí,Sí,Se firmó el convenio de colaboración de la red de incubadoras del estado de Oaxaca pertenecientes al tecnológico nacional de México,,OAX1090
CIIE ITP,CIIE TEC-ISTMO,Directed,90,,,5,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,1,Sí,Sí,Se forma la red de incubadoras del estado de Oaxaca que pertenecen al tecnológico nacional de México,,OAX1091
ITSAL,CIIE TEC-ISTMO,Directed,91,,,3,Nosotros los buscamos,,Acceso a red de contactos,2,No,Sí,Logramos los contactos necesarios,,OAX1092
ITESM OAX,COBAO,Directed,92,,,3,Nosotros los buscamos,,Acceso a red de contactos,5,Sí,Sí,Acceso a alumnos,,OAX1093
IODEMC,COGNITIVO,Directed,93,,,5,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,1,No,Sí,"Iniciamos con el desarrollo de una metodología de atención al emprendedor, la cual utiliza actualmente el IODEMC. De igual forma le contratamos un curso para la capacitación de otras incubadoras. Finalmente son aliados para la incubación de empresas.",,OAX1094
Oaxaca Activa,COGNITIVO,Directed,94,,,4,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,1,No,Sí,Porque se han desarrollado habilidades de los emprendedores en temas empresariales o financieros,,OAX1095
PEDADI,COGNITIVO,Directed,95,,,5,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,1,Sí,Sí,"SE LOGRO CONSTRUIR UN MODELO EDUCATIVO DE EDUCACION PREESCOLAR OFICIAL CON ENFOQUE EMPRENDEDOR Y BASADO EN LA FILOSOFIA TOLTECA DIRIGIDO A NIÑOS DE 3 A 5 AÑOS DE EDAD. ADEMAS SE ADQUIRIO EL PERMISO DE USO DE UNA METODOLOGIA DE EMPRENDIMIENTO PARA NIÑOS DE 4 A 14 AÑOS DE EDAD, RECONOCIDA POR EL INADEM ""BUSINESSKIDS"" Y QUE SE IMPLEMENTA DE MANERA EXTRACURRICULAR PARA NIÑOS DE DICHAS EDADES QUE RADICAN EN LA CIUDAD DE OAXACA. ADEMAS SE GENERARON Y CONSOLIDARON DIVERSAS ALIANZAS ESTRATEGICAS QUE PERMITEN LA IMPLEMENTACION EXITOSA DE DICHO MODELO CON INSTANCIAS PUBLICAS Y PRIVADAS FACULTADAS EN EL TEMA DEL EMPRENDIMIENTO.",,OAX1096
UTSSO,COGNITIVO,Directed,96,,,4,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,1,No,Sí,El intercambio de la información y estrategias de operación de la incubadora son satisfactorias y dejan aprendizajes significativos a los que integramos la incubadora,,OAX1097
