Id,Label,timeset,rol estimado,mentions,avg strength,node size,id dir,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,triangles,eigencentrality
ANDE,ANDE,,Articulator,56,4.107143,46,MVD017,52,27,79,213,97,310,3,0.532432,0.601523,4451.808503,0,0,83,0.164894,186,1
ANII,ANII,,Articulator,46,3.891304,35.8,MVD020,48,20,68,203,61,264,3,0.506427,0.576988,2597.86782,1,0,83,0.182724,165,0.870775
RAFE,RAFE,,Linker,20,3.7,14.8,MVD252,22,18,40,90,60,150,3,0.479319,0.532995,1323.290725,2,0,83,0.216931,82,0.590892
BID,BID,,Enabler,17,3.705882,12.6,MVD029,15,2,17,58,7,65,4,0.39165,0.439932,166.53144,1,0,83,0.228571,24,0.221578
UDELAR,UDELAR,,Knowledge Generator,16,3.9375,12.6,MVD286,14,3,17,58,6,64,4,0.404517,0.441624,221.793061,3,0,83,0.290909,16,0.202992
CIE-ORT,CIE-ORT,,Enabler,17,3.352941,11.4,MVD058,11,29,40,36,104,140,4,0.443694,0.509729,1218.627815,4,0,83,0.218391,95,0.509887
UTEC,UTEC,,Knowledge Generator,15,3.666667,11,MVD307,17,22,39,59,76,135,4,0.449772,0.511421,1494.155411,0,0,83,0.21164,80,0.519652
INEFOP,INEFOP,,Articulator,15,3.6,10.8,MVD173,14,2,16,53,2,55,4,0.41649,0.459814,486.578266,6,0,83,0.24359,19,0.208765
INGENIO,INGENIO,,Enabler,15,3.6,10.8,MVD174,18,11,29,54,39,93,4,0.426407,0.474196,307.36316,4,0,83,0.444444,68,0.467096
CIU,CIU,,Linker,17,3.117647,10.6,MVD062,17,12,29,53,47,100,3,0.451835,0.503384,958.300927,0,0,83,0.245059,62,0.46515
Fundación Ricaldoni,Fundación Ricaldoni,,Enabler,17,3.117647,10.6,MVD140,11,23,34,34,74,108,4,0.451835,0.511421,1219.367801,3,0,83,0.190883,67,0.437983
MIEM-Dinapyme,MIEM-Dinapyme,,Articulator,14,3.5,9.8,MVD206,9,8,17,39,13,52,4,0.402041,0.443316,284.820156,2,0,83,0.230769,18,0.180871
MIEM,MIEM,,Articulator,14,3.357143,9.4,MVD205,12,2,14,41,6,47,4,0.419149,0.459814,129.37688,1,0,83,0.32967,30,0.243265
CUTI,CUTI,,Linker,16,2.8125,9,MVD090,15,10,25,43,31,74,3,0.429194,0.477157,615.587436,7,0,83,0.269006,46,0.337244
Uruguay XXI,Uruguay XXI,,Articulator,14,3.142857,8.8,MVD304,11,29,40,34,92,126,4,0.470167,0.53934,939.927198,0,0,83,0.228571,136,0.566781
Incubadora Khem- IPTP,Incubadora Khem- IPTP,,Enabler,14,3.071429,8.6,MVD171,10,18,28,24,67,91,4,0.422747,0.47335,526.726781,1,0,83,0.236842,45,0.405163
LATU,LATU,,Enabler,12,3.583333,8.6,MVD196,8,23,31,34,68,102,4,0.432967,0.491963,880.696001,1,0,83,0.188406,52,0.375233
Transforma Uruguay,Transforma Uruguay,,Articulator,11,3.545455,7.8,MVD279,7,13,20,26,49,75,4,0.402041,0.443739,371.455445,6,0,83,0.230769,21,0.322577
Socialab,Socialab,,Enabler,12,3.166667,7.6,MVD273,11,11,22,32,39,71,3,0.417373,0.461083,293.392489,0,0,83,0.4,48,0.340221
Universidad ORT Uruguay,Universidad ORT Uruguay,,Knowledge Generator,11,3.272727,7.2,MVD299,11,1,12,33,4,37,4,0.378846,0.423012,211.096185,4,0,83,0.181818,10,0.159771
Fundación da Vinci América Latina,Fundación da Vinci América Latina,,Enabler,10,3.5,7,MVD139,8,27,35,25,87,112,3,0.435841,0.493232,1303.957881,5,0,83,0.203333,61,0.535885
INIA,INIA,,Knowledge Generator,11,3.090909,6.8,MVD175,8,5,13,20,22,42,4,0.39798,0.441624,180.611961,3,0,83,0.294872,23,0.185733
PCTP,PCTP,,Enabler,9,3.666667,6.6,MVD226,4,7,11,17,18,35,4,0.344406,0.38198,63.055923,3,0,83,0.142857,3,0.082813
AJE,AJE,,Linker,9,3.444444,6.2,MVD015,9,12,21,29,38,67,4,0.399594,0.450508,734.700566,5,0,83,0.242647,33,0.279496
IPMont,IPMont,,Knowledge Generator,8,3.75,6,MVD187,8,9,17,27,37,64,4,0.408714,0.453892,289.595326,1,0,83,0.225,27,0.230942
CETP-UTU,CETP-UTU,,Enabler,9,3.111111,5.6,MVD057,16,12,28,52,42,94,3,0.442697,0.494078,994.590773,0,0,83,0.233766,54,0.370812
Endeavor,Endeavor,,Enabler,10,2.8,5.6,MVD113,7,5,12,16,20,36,4,0.400407,0.435702,26.201302,1,0,83,0.622222,28,0.26686
Facultad Ingeniería UDELAR,Facultad Ingeniería UDELAR,,Knowledge Generator,8,3,4.8,MVD124,6,3,9,16,9,25,4,0.366171,0.403976,42.999594,3,0,83,0.222222,8,0.117909
SNCYT,SNCYT,,Articulator,8,3,4.8,MVD272,4,5,9,13,18,31,4,0.351786,0.392555,124.295936,6,0,83,0.25,7,0.109459
Antel,Antel,,Enabler,7,3.285714,4.6,MVD024,13,8,21,44,30,74,4,0.421842,0.471658,450.567141,3,0,83,0.222222,38,0.268851
Centro IthaKa,Centro IthaKa,,Enabler,7,3.142857,4.4,MVD056,5,2,7,18,4,22,4,0.39243,0.422166,4.225177,0,0,83,0.761905,16,0.18375
CNCS,CNCS,,Linker,6,3.666667,4.4,MVD066,6,1,7,20,5,25,4,0.353047,0.38621,38.708939,2,0,83,0.333333,5,0.084045
CUDECOOP,CUDECOOP,,Linker,5,4,4,MVD088,3,2,5,15,5,20,5,0.287172,0.304653,0,2,0,83,1,1,0.036195
El País,El País,,Promoter,7,2.857143,4,MVD107,12,7,19,36,30,66,4,0.396378,0.442047,575.672084,7,0,83,0.263736,24,0.304422
FQ UDELAR,FQ UDELAR,,Knowledge Generator,5,4,4,MVD125,3,2,5,11,9,20,4,0.360146,0.391286,4.100987,1,0,83,0.5,5,0.092218
Oficina de Planeamiento y Presupuesto,Oficina de Planeamiento y Presupuesto,,Articulator,5,4,4,MVD220,3,2,5,11,9,20,4,0.382524,0.408629,0.525765,0,0,83,0.9,9,0.129529
Unidad Mypes,Unidad Mypes,,Articulator,6,3.333333,4,MVD297,7,11,18,23,45,68,4,0.407867,0.450508,873.610619,0,0,83,0.230769,21,0.293424
El Observador,El Observador,,Promoter,7,2.714286,3.8,MVD106,6,1,7,17,2,19,4,0.372401,0.40736,13.461479,5,0,83,0.571429,12,0.161307
UCU,UCU,,Enabler,7,2.714286,3.8,MVD283,5,12,17,12,43,55,4,0.410417,0.453046,393.635552,0,0,83,0.314286,33,0.30436
ADEF,ADEF,,Articulator,5,3.6,3.6,MVD008,4,2,6,12,7,19,4,0.384766,0.414552,6.249174,0,0,83,0.666667,10,0.118668
CBII,CBII,,Enabler,5,3.6,3.6,MVD043,2,4,6,7,18,25,4,0.373106,0.398477,4.926519,1,0,83,0.666667,4,0.135465
FCEA UDELAR,FCEA UDELAR,,Knowledge Generator,6,3,3.6,MVD123,4,1,5,12,3,15,4,0.373106,0.400592,14.336615,2,0,83,0.4,4,0.110883
INACOOP,INACOOP,,Articulator,5,3.6,3.6,MVD166,5,0,5,18,0,18,5,0.32562,0.35753,27.861025,2,0,50,0.2,2,0.059016
GEPIAN,GEPIAN,,Enabler,4,4.25,3.4,MVD146,2,2,4,9,8,17,4,0.372401,0.398477,0.909947,0,0,83,0.833333,5,0.13215
Initium,Initium,,Enabler,6,2.833333,3.4,MVD177,5,21,26,16,66,82,4,0.425486,0.480118,702.243545,0,0,83,0.285714,66,0.371366
Portal Uruguay Emprendedor,Portal Uruguay Emprendedor,,Promoter,4,4.25,3.4,MVD233,4,0,4,17,0,17,4,0.317742,0.343063,15.069384,2,0,65,0,0,0.04636
UEU,UEU,,Linker,6,2.833333,3.4,MVD289,6,0,6,17,0,17,5,0.348673,0.385025,13.485386,1,0,35,0.466667,7,0.092612
NahualUY,NahualUY,,Community,5,3.4,3.4,MVD218,4,2,6,16,2,18,5,0.27983,0.300592,30.88648,5,0,83,0.666667,2,0.016395
Centro de Extensionismo Industrial,Centro de Extensionismo Industrial,,Enabler,5,3.2,3.2,MVD055,5,1,6,14,3,17,5,0.324547,0.357107,17.391663,6,0,83,0.3,3,0.050889
ICT4V,ICT4V,,Knowledge Generator,8,2,3.2,MVD157,2,10,12,6,14,20,4,0.367537,0.401438,17.026318,3,0,83,0.5,14,0.14385
SINERGIA,SINERGIA,,Enabler,5,3.2,3.2,MVD267,5,0,5,16,0,16,4,0.38856,0.414129,0,0,0,36,1,10,0.153414
ANMYPE,ANMYPE,,Linker,5,3,3,MVD021,13,7,20,36,24,60,4,0.39479,0.437394,857.996275,0,0,83,0.131868,12,0.222254
IIBCE,IIBCE,,Knowledge Generator,4,3.75,3,MVD160,3,1,4,10,5,15,4,0.315705,0.344332,0.719481,1,0,83,0.833333,5,0.04697
ThalesLab,ThalesLab,,Enabler,4,3.5,2.8,MVD276,7,11,18,19,43,62,4,0.396378,0.434856,126.053869,1,0,83,0.424242,28,0.354298
Brou,Brou,,Enabler,3,4,2.4,MVD033,2,1,3,9,3,12,5,0.312698,0.338579,3.672222,0,0,83,0.666667,2,0.039481
Santander Universidades,Santander Universidades,,Enabler,3,4,2.4,MVD261,3,0,3,12,0,12,4,0.320847,0.343063,1.615079,0,0,39,0,0,0.052311
CDU,CDU,,Linker,4,3,2.4,MVD048,3,1,4,9,3,12,4,0.343805,0.37225,6.518223,7,0,83,0.333333,2,0.056656
CEDU,CEDU,,Linker,4,3,2.4,MVD049,2,7,9,6,23,29,4,0.358834,0.395093,244.081314,7,0,83,0.142857,4,0.101672
Co-Work LatAm,Co-Work LatAm,,Enabler,4,3,2.4,MVD069,12,5,17,30,14,44,4,0.394,0.436125,860.489694,5,0,83,0.181818,12,0.227023
ACDE,ACDE,,Linker,4,2.75,2.2,MVD005,2,2,4,6,5,11,4,0.320847,0.350677,2.370092,5,0,83,0.5,3,0.061477
UM,UM,,Enabler,4,2.75,2.2,MVD291,4,0,4,11,0,11,4,0.351159,0.379865,2.024042,4,0,28,0.5,3,0.079259
XENIORS,XENIORS,,Enabler,4,2.75,2.2,MVD315,3,10,13,9,24,33,4,0.387033,0.419628,78.533012,2,0,83,0.333333,12,0.196771
Empretec,Empretec,,Enabler,3,3.666667,2.2,MVD112,6,19,25,18,62,80,4,0.415612,0.469966,1845.802198,0,0,83,0.121212,28,0.308191
MEC,MEC,,Articulator,3,3.666667,2.2,MVD198,3,0,3,11,0,11,5,0.33165,0.358376,1.953246,1,0,6,0.333333,1,0.049018
Rabbit,Rabbit,,Enabler,3,3.666667,2.2,MVD246,6,8,14,14,27,41,4,0.382524,0.421743,405.974416,1,0,83,0.309091,17,0.315627
Facultad de Ciencias UDELAR,Facultad de Ciencias UDELAR,,Knowledge Generator,3,3.333333,2,MVD121,2,1,3,6,4,10,5,0.321895,0.349069,2.254142,1,0,83,0,0,0.044296
Incubacoop,Incubacoop,,Enabler,3,3.333333,2,MVD170,2,12,14,4,53,57,4,0.39243,0.427242,197.804111,2,0,83,0.311111,14,0.182133
MIEM-DNPI,MIEM-DNPI,,Enabler,3,3.333333,2,MVD207,2,2,4,7,10,17,5,0.311216,0.336802,14.157512,2,0,83,0,0,0.03168
ADM,ADM,,Linker,2,4.5,1.8,MVD009,2,0,2,9,0,9,5,0.305426,0.325804,1.505626,7,0,16,0,0,0.029516
Cámara de Representantes,Cámara de Representantes,,Articulator,2,4.5,1.8,MVD039,1,1,2,5,4,9,5,0.304954,0.324958,1.110595,3,0,83,0,0,0.024431
Genexus,Genexus,,Enabler,2,4.5,1.8,MVD145,2,0,2,9,0,9,5,0.298033,0.31819,0.521368,7,0,27,0,0,0.031482
UPV,UPV,,Knowledge Generator,2,4.5,1.8,MVD302,2,0,2,9,0,9,5,0.289706,0.30423,0,7,0,68,0,0,0.030671
CTPLAS,CTPLAS,,Knowledge Generator,3,3,1.8,MVD086,3,1,4,6,4,10,4,0.347443,0.375635,14.588056,6,0,83,0.5,3,0.055421
ClusterUY,ClusterUY,,Enabler,2,4,1.6,MVD065,0,2,2,0,8,8,5,0.306376,0.327496,0.516288,3,0,84,0,0,0.019247
Instituto 3IE,Instituto 3IE,,Enabler,2,4,1.6,MVD180,2,0,2,8,0,8,4,0.322422,0.343486,7.348252,6,0,54,0,0,0.028546
EUCD,EUCD,,Enabler,2,3.5,1.4,MVD053,1,1,2,3,4,7,4,0.317742,0.338409,1.968628,0,0,83,0,0,0.02674
CUDIM,CUDIM,,Knowledge Generator,2,3.5,1.4,MVD089,1,1,2,2,5,7,5,0.29056,0.312098,0.719481,3,0,83,0,0,0.016866
DESEM,DESEM,,Enabler,2,3.5,1.4,MVD094,2,0,2,7,0,7,4,0.352415,0.373942,0,5,0,13,1,1,0.059231
El Abrojo,El Abrojo,,Enabler,2,3.5,1.4,MVD103,0,10,10,0,38,38,4,0.359489,0.392555,796.889606,2,0,89,0.035714,1,0.158334
Mujeres IT,Mujeres IT,,Community,2,3.5,1.4,MVD215,1,0,1,4,0,4,6,0.241718,0.255584,0,5,0,10,0,0,0.002692
Pyxis,Pyxis,,Enabler,2,3.5,1.4,MVD243,2,9,11,7,29,36,4,0.373106,0.411168,551.422097,1,0,83,0.088889,4,0.152496
UDEPI UDELAR,UDEPI UDELAR,,Enabler,2,3.5,1.4,MVD295,7,10,17,24,38,62,4,0.376673,0.424281,730.175253,3,0,83,0.120879,11,0.135616
LATU Latitud,LATU Latitud,,Knowledge Generator,3,2,1.2,MVD197,5,17,22,11,49,60,4,0.415612,0.465736,521.768521,1,0,83,0.263158,45,0.373308
500 Startups,500 Startups,,Enabler,2,3,1.2,MVD002,2,0,2,6,0,6,5,0.310726,0.332995,0,7,0,67,1,1,0.03302
AGESIC,AGESIC,,Articulator,2,3,1.2,MVD013,2,0,2,6,0,6,4,0.333333,0.35533,0,3,0,21,1,1,0.03809
CONEXO Cowork,CONEXO Cowork,,Enabler,2,3,1.2,MVD076,4,8,12,17,28,45,4,0.373814,0.412014,814.274715,2,0,83,0.155556,7,0.126517
CTAgua,CTAgua,,Enabler,2,3,1.2,MVD084,2,0,2,6,0,6,5,0.304954,0.327919,2.827759,3,0,52,0,0,0.024497
Impulsa Industria,Impulsa Industria,,Enabler,2,3,1.2,MVD163,2,19,21,4,78,82,4,0.380309,0.434433,1783.592496,6,0,83,0.051471,7,0.128528
Intendencia de Canelones,Intendencia de Canelones,,Articulator,2,3,1.2,MVD182,2,0,2,6,0,6,5,0.3152,0.339425,2.720463,1,0,19,0,0,0.033646
