Country,1 Foundational Institutions,2.01 I-Human Capital,2.02 I-Funding,2.03 I-Infrastructure,2.04 I-Demand,2.05 I-Culture & Incentives,3.01 E-Human Capital,3.02 E-Funding,3.03 E-Infrastructure,3.04 E-Demand,3.05 E-Culture & Incentives,4 Comparative Advantage,5 Social Impact,6 Economic Impact,GNI per capita,SEDA Score
Albania,3.4731999999999994,2.20598167079771,1.3058451063983676,2.5989262195470078,2.929777777777778,1.566,3.3003714063714065,2.041129634380594,3.4788,2.3689999999999998,3.1039565366551614,2.074466666666667,3.965401107847372,2.7385187582733845,1.2367267413541159,3.1719999999999997
Algeria,3.0096,2.1955009786714923,1.6747097596167544,2.3838033880610405,2.5733333333333333,2.4276,3.1827319347319345,1.7388793566824405,3.473333333333333,3.2058,3.3510667701831625,2.3991333333333333,3.715319117315254,2.32402433877513,1.1748660496833903,2.724
Argentina,3.1684,2.051076363636364,1.6820021283877145,2.740698426680369,2.729777777777778,1.793,3.076940170940171,1.7254753382509602,3.679066666666666,3.1718,2.8912819498617854,2.5830666666666664,3.9842460955263177,2.4050711741162827,1.5270336093521677,3.2319999999999998
Armenia,3.6344000000000003,2.238828236122818,1.3996691541753756,2.837184206448245,2.7182222222222223,1.342,3.314949494949495,2.1677266344738517,3.614266666666667,2.6556,3.5124723409592087,2.5930666666666666,3.820191074312455,3.0706926129529264,1.2094495859717487,3.012
Australia,4.370799999999999,2.878032498499713,2.0647503219853798,3.2949832228176206,3.2688888888888887,2.8508,3.7526029526029525,2.823880313882709,4.229333333333334,3.437,3.0470259904389216,3.316533333333333,4.440543394370819,3.2754445322226218,3.6561130053580126,4.263999999999999
Austria,4.2012,3.5580833681581963,2.727585154418374,3.547228698198308,3.3546666666666667,2.51,3.0150691530691525,2.200412026091694,4.202133333333333,3.165,2.991240381964817,3.347533333333333,4.23388156880511,3.1942033860424064,3.4802727715538238,4.332
Azerbaijan,3.6491999999999996,2.44512828169293,1.3525120067065857,2.9799642761016907,3.2279999999999998,1.8505999999999998,2.7563061383061385,2.2989525433393276,3.510666666666667,3.1952,3.4250061905585305,3.3651999999999997,3.993412792301906,2.637340752882192,1.1997077447637603,2.92
Bangladesh,2.8376,2.1188132685844865,1.3815102571635471,2.3201775918177594,2.6,1.2454,2.8234001554001553,1.6359750275558358,3.208933333333333,3.0766,3.428213752613093,2.5111333333333334,2.9986635956123453,3.4873407579455247,1.0759863614223089,2.3280000000000003
Belgium,4.1252,2.842008630232386,2.6808194864300616,3.556567284086553,3.463111111111111,1.9002,2.420087024087024,2.404738187745237,4.242266666666667,3.3814,3.060683708290922,3.3650666666666664,4.241616479355962,2.982103612435322,3.2878714076960547,4.208
Bosnia and Herzegovina,3.3336000000000006,2.3233043942463802,1.0939937633454215,2.6260528436386177,2.4551111111111115,1.6523999999999999,2.8794613830613836,5.7785438088639625,3.5685333333333333,2.2264,3.0765172062519093,1.9049333333333331,3.2133861634240546,2.366261481659263,1.2810521188504627,2.9
Brazil,3.1779999999999995,1.8267063491841213,1.6622439327566314,2.707139543419217,2.8791111111111114,2.7542,2.975760683760684,1.991286521891028,3.694933333333333,3.4638,3.3760301579448533,2.7410666666666668,3.9967378448088855,2.389176772512209,1.4262055528494886,2.972
Bulgaria,3.6376000000000004,2.4965433987862466,1.637541410773734,2.815172388199695,2.9075555555555557,1.6847999999999999,2.3302362082362085,2.2600635419119905,3.9424000000000006,2.9266,3.0076590263789513,2.522666666666667,3.9986650215545887,3.069330940983852,1.4398441305406722,3.404
Burundi,2.896,2.217191512817698,1.2534805849396022,1.9158849413165642,2.2613333333333334,1.4020000000000001,2.6606697746697745,1.625416339477001,2.1886666666666668,1.5178,3.446899263684814,2.5602666666666667,2.585083128901534,2.48121328224265,0.9951290793960058,1.972
Cambodia,2.8139999999999996,2.08720828169293,1.2719823844586,2.3204512140416127,2.6013333333333333,1.358,2.7346946386946387,2.178815078293292,3.3000000000000003,2.6902,3.2252746215847945,2.862,3.013493136813303,3.7671201881967216,1.0535801266439357,2.4
Cameroon,2.7840000000000003,2.126067214711946,1.2418554225869212,2.1611651618586216,2.5933333333333337,1.7262,2.8474001554001553,1.8547887613166452,2.771333333333333,2.5438,3.395547085946426,2.3331333333333335,3.109809937214483,2.883489631957913,1.0545543107647346,2.176
Canada,4.288,3.0461345837496197,1.789972298660026,3.4452417072434693,3.4035555555555557,3.1488,3.038128982128982,3.3993289774325883,4.1601333333333335,3.673,3.197597928286736,3.6426666666666665,4.306161090777946,3.126647120705961,3.240136385776912,4.168
Chile,3.9124000000000003,2.413202830323444,1.1849340026124588,3.1001091781056545,2.9657777777777774,1.9536000000000002,4.15417871017871,2.2079896078308856,3.9350666666666663,3.2030000000000003,3.4694165539946287,3.1112,4.424643464790176,2.6762993888752193,1.7126156843643447,3.504
China,3.6712000000000002,2.649471269627589,3.5684149076341036,2.757642589737943,3.713777777777778,3.8548,3.191996891996892,2.6987866258003463,4.24,4.1632,3.5144444038985685,3.3259333333333334,3.5024819214511758,3.310795528885394,1.4885533365806136,3.064
Colombia,3.4951999999999996,2.3448037124836447,1.0941056699058382,2.658408133303971,2.9835555555555557,2.0734000000000004,3.537024087024087,2.250109643846963,3.546666666666667,3.0732,3.362193821040883,2.6306666666666665,3.9130059372119246,2.720571149126509,1.2985874330248417,2.9
Costa Rica,3.5328000000000004,2.075949752446819,1.2208372600800272,2.947935737763749,2.8266666666666667,1.323,3.113238539238539,2.090961191693053,3.6650666666666667,2.8049999999999997,3.1640874418709015,3.0248666666666666,4.14591975549892,2.7910023754887563,1.5513882123721383,3.3280000000000003
Croatia,3.6684000000000005,2.178444870412661,1.7024135176977488,2.861899532653111,2.443111111111111,1.9766000000000001,3.603181041181041,1.88266255914521,3.808666666666666,2.5314,2.492946556928396,1.9142,4.010316244739523,2.814164307929389,1.7077447637603507,3.5839999999999996
Cyprus,3.8484000000000003,2.7597709892204803,1.2483076999478926,2.960162584518013,2.754222222222222,1.444,2.978965034965035,2.431491859169625,3.8509333333333333,2.6470000000000002,3.412803810749582,2.7975333333333334,3.9741790587214223,3.232004059918796,2.3312226010716026,3.648
Czech Republic,3.9612000000000003,2.7875210021181642,2.3781037213995706,3.150490575578883,3.069777777777778,2.2614,2.7878585858585856,2.2630550014121815,4.107066666666667,2.884,2.9042414386185182,2.7699333333333334,4.073019375782235,3.257986159896549,2.0530930345835365,3.8760000000000003
Denmark,4.4719999999999995,3.4671360672641414,2.33181713107052,3.511888880732748,3.351555555555555,2.0032,2.775358197358197,2.6242855677658983,4.4084,3.1814,3.359982341020157,3.475133333333334,4.362954272068927,3.285335090197978,4.061860691670725,4.364
Dominican Republic,3.17,2.1079872116220826,1.1355224280517615,2.5101433197125775,2.610222222222222,1.1400000000000001,3.5361724941724946,1.9061086553063011,3.5068,2.7800000000000002,3.4627057068665827,2.704,3.8854120088701425,3.131263908646857,1.3755479785679494,2.88
Ecuador,2.9608,2.0871951566203863,1.2259576059085244,2.443551714013066,2.6422222222222222,1.4686,3.5286278166278167,1.8693002368833664,3.494666666666667,2.6958,3.409828363735587,2.4474666666666662,3.7084767273861035,2.590304651891096,1.2776424744276669,2.92
"Egypt, Arab Rep.",3.0976,2.0241946098768846,1.5708624024137225,2.5774836428588905,2.8164444444444445,1.4205999999999999,2.924500388500389,2.0726162609577874,3.468133333333333,3.1928,3.560733826283372,2.838466666666667,3.355085781495745,2.820259701610297,1.112518265952265,2.624
El Salvador,3.2408,2.1161682816929295,1.1728072867403796,2.4206175503845624,2.457333333333333,1.74,3.115872571872572,2.089874822561512,3.3409333333333335,2.406,3.4124940712583527,2.1092666666666666,3.6495488100326967,2.8398339413871994,1.1763273258645883,2.7199999999999998
Estonia,4.1516,2.9535329546076223,1.765731152178221,3.17696140514,2.9746666666666663,2.087,2.9558570318570316,2.3752520480741315,4.128533333333333,2.6424000000000003,3.0619589604604194,2.6778,4.202755082337736,3.3502369377266534,2.112518265952265,3.86
Ethiopia,2.9776,2.2477646837638794,1.4141976414370638,2.031768618431248,2.7626666666666666,1.5584,2.6590458430458432,1.6339649461296466,2.6085333333333334,3.3316,3.3683406397815028,2.5536,2.8386415088838732,3.7659827355064137,1.0228933268387725,2.04
Finland,4.3352,3.821135182787322,2.525604498302757,3.572767892534684,3.540888888888889,2.4976,2.7785268065268065,2.926954249285648,4.378533333333333,3.3118,3.2993876679417156,3.4143333333333334,4.3809508254133425,3.0011541122247083,3.396492937165124,4.359999999999999
France,4.0636,3.11701783397034,2.520615142520233,3.4568897208152882,3.4022222222222225,3.924,2.244769230769231,2.75200775503197,4.246933333333334,3.6903999999999995,3.2066932415800085,3.0416,4.248608995546612,2.921387375467328,3.046760837798344,4.044
Georgia,4.04,2.19180693859244,1.2438785736215978,2.6461015847382288,2.685333333333334,1.7558,2.877426573426573,2.3259483458803225,3.6468000000000003,2.4497999999999998,3.2540487090005468,2.3295333333333335,3.7374882131206126,3.0169632259183614,1.2123721383341453,3.2159999999999997
Germany,4.1688,3.9019819899952317,3.3128734734053973,3.5862294648755784,3.9404444444444446,4.51,2.6303900543900545,2.8533951977775627,4.327600000000001,3.8988,3.321427586491337,3.8362666666666665,4.178413417266708,3.1011473331655544,3.344861178762786,4.26
Ghana,3.1168000000000005,2.2428387152251403,1.2074026246763605,2.427653657621506,2.908,1.2746,2.7796441336441338,1.929705167132523,3.2786666666666675,2.8022,3.457988380412687,2.9562666666666666,3.4878302777386962,3.3270219406830037,1.0896249391134925,2.532
Greece,3.5172,2.967140344266296,1.924418915462819,2.953320046979373,2.575111111111111,2.393,3.7816627816627815,1.727497800728196,3.9105333333333334,2.9004,2.68891873500816,2.037,3.935984279864858,2.3110506144167067,1.9712615684364345,3.552
Guatemala,3.058,2.1514499929249995,1.1312568571964903,2.678209637296402,2.783555555555555,1.04,3.1172167832167834,2.1664793462346688,3.2302666666666666,2.7512,3.906863908394124,2.7183333333333337,3.4264046208225376,2.902190807225582,1.2060399415489527,2.568
Honduras,2.886,2.057977864062595,1.0523593523952788,2.3734637418744446,2.6662222222222223,1.318,2.917222999222999,2.1501211133740665,3.0025333333333335,2.4626,3.4781919480386887,2.6208,3.386813028410791,2.9826664565061476,1.0979055041402825,2.524
Hungary,3.7099999999999995,2.4951050598964373,1.9719779817756622,2.938534651365746,2.8742222222222225,1.966,2.6136938616938616,2.1557352547652817,3.964933333333333,2.7723999999999998,2.7147040607536717,2.4432,4.1183645676427805,3.3403982210727747,1.7676570871894788,3.612
Iceland,4.2348,3.260220730073037,1.905941955474181,3.747106266363258,3.079555555555556,1.4022000000000001,2.608174048174048,2.795437805227919,4.234133333333333,2.5792,3.295647324078731,3.3236,4.361276978424858,3.5268628044481583,4.529956161714564,4.4239999999999995
India,3.3568,2.6887636363636362,2.057559039299566,2.5778995081846876,3.6777777777777776,4.2872,3.5114700854700853,2.6287414348348555,3.3232,3.8196,3.3740177420518207,3.2864,3.0291448723374708,3.270750479089932,1.0852411105698978,2.496
Indonesia,3.4351999999999996,2.2421849555654534,1.3774605935766346,2.693732600911856,3.540888888888889,1.7901999999999998,2.8282377622377624,2.3016527138054412,3.6948000000000003,3.4748,3.39823949410701,3.3215333333333334,3.78219956157734,3.1504131585553212,1.1787627861665855,2.852
"Iran, Islamic Rep.",2.9311999999999996,2.10294562092016,1.9259224344803347,2.7014193643103575,2.732888888888889,3.963,3.5354374514374514,1.7570069639470016,3.5216,3.276,3.1641284396022176,2.3347333333333333,3.5877451977803876,2.6769397951034994,1.2454943984413054,2.836
Ireland,4.2416,3.2643043363520077,1.5480936916338084,3.403484556346701,3.385333333333333,2.1026,2.6291484071484073,2.940074712429091,4.075866666666667,3.3200000000000003,2.6827652972576868,3.4652000000000003,4.337506164391065,3.5286365597082145,4.011690209449586,4.308
Israel,4.0524000000000004,3.4314644927894067,3.3428205576594996,3.5333380312706453,3.7537777777777777,1.9963999999999997,2.4452074592074595,3.0818409633213553,4.029866666666667,3.2584,3.2528365731228086,3.270133333333334,4.03657959202571,3.3604818351944425,3.090112031173892,3.7119999999999997
Italy,3.7248000000000006,2.719172758451369,1.9352594313570703,3.1494346244504796,3.1515555555555554,3.5162,2.635745143745144,1.968779639946285,4.091066666666666,3.5065999999999997,2.182288873525653,3.065266666666667,4.089894794591104,2.8007373662403583,2.660009741841208,3.7880000000000003
Japan,4.2,2.9822864809566676,3.1764222284911323,3.6562379064816857,3.6653333333333333,3.8712,1.4317703185703188,2.3190006003972328,4.477200000000001,4.023,2.5272401099927078,3.2216666666666667,4.0363938957165555,3.0503541126810667,3.0121773015099853,4.088
Jordan,3.4984,2.4233052744305357,1.56505983383843,2.9129900005709297,2.892,2.042,2.665271173271173,2.055008767201993,3.5630666666666664,2.8284000000000002,3.178305847590611,2.9166666666666665,3.544396790124343,2.256578165854763,1.1909400876765708,2.8600000000000003
Kazakhstan,3.7984,2.3304667683534745,1.095151815905697,2.7247670850767083,2.9439999999999995,1.9131999999999998,2.8306386946386946,1.9975727422970915,3.8224,3.1033999999999997,3.348958110891747,2.4778,3.826572856510401,3.073256155270145,1.4106186069167073,3.2840000000000003
Kenya,3.336,2.3491282816929298,1.4171132864363725,2.5597165904067465,3.0928888888888886,1.4888,2.662344988344988,2.3053306362514854,3.1676,2.775,3.4690608407796404,3.0694,2.9340887902352466,2.860470082732451,1.06673161227472,2.3280000000000003
"Korea, Rep.",4.1000000000000005,3.692760121551916,4.1796975688666995,3.4157069743163113,3.398222222222222,3.6808,3.263993783993784,2.2435345543452,4.454533333333333,3.9875999999999996,3.871896479589921,3.2670666666666666,3.8868655562848424,3.1010090892271984,2.623964929371651,3.928
Kuwait,3.5263999999999998,2.2109449111683155,1.1563826859204678,2.9201539145399527,2.824888888888889,2.0214,2.717033411033411,2.1233841913250795,3.8610666666666673,3.1178,3.376421721328281,2.726,3.776129775603881,2.5106865579493602,2.6517291768144178,3.628
Kyrgyz Republic,3.4072000000000005,2.12760828169293,1.1281256068691192,2.223976420595888,2.4435555555555557,1.638,3.016343434343434,1.9844817993210306,3.467733333333334,2.3248,3.4483159356982234,2.0494666666666665,3.492261494748661,2.900221168845044,1.0418899171943496,2.7199999999999998
Latvia,3.9288000000000003,2.342901127046969,1.4422266359874976,3.031608758064385,2.6871111111111112,1.681,3.3787334887334888,2.331932193234852,4.052933333333333,2.5957999999999997,2.915344187066984,2.4394666666666662,4.198194357366505,3.035476508836104,1.845104724792986,3.688
Lebanon,3.0107999999999997,2.326741511339452,1.3506482500818668,2.683878253280808,2.765333333333333,1.8656000000000001,3.0143574203574204,2.127479153438744,3.4802666666666666,2.7382,3.426444109969038,2.5758,3.362519549089663,2.0979793565176714,1.351680467608378,2.74
Lithuania,4.0256,2.567730619649309,1.720228655213441,3.123798959276387,2.9595555555555557,1.903,2.9816938616938615,2.0742113581504205,4.131333333333333,2.6994,2.9176373940870053,2.3501333333333334,4.2149196558976305,3.154422979453545,1.906478324403312,3.748
Luxembourg,4.016,3.1603459713155004,2.026371426578636,5.347335910673942,3.536444444444444,1.5070000000000001,1.9592851592851594,2.5373115653608505,4.321733333333333,3.1994,3.016934706664843,3.723066666666667,4.5406743678386565,3.498933184392128,4.5815879201169025,4.343999999999999
Madagascar,2.9896,2.090903641680103,1.002901672632663,1.9938862055184452,2.525688888888889,1.8054000000000001,2.693370629370629,1.7650750991375146,2.4325333333333337,2.141,3.515421561061564,2.634333333333333,2.20279487344138,2.864114558822778,1.0068192888455918,2.112
Malaysia,3.8616,2.9120781678950367,1.7800631124470825,3.1833376153074457,3.808,2.572,2.4804755244755246,2.439103421182967,4.035866666666667,3.6205999999999996,3.379550829556118,3.7291333333333334,3.988135598083132,3.2299005131706897,1.5270336093521677,3.432
Mali,2.9132000000000002,2.2043996010403903,1.3802019232160672,2.2234342166434216,2.6679999999999997,1.3636000000000001,2.679574203574204,1.6719125965232584,2.704133333333333,2.1854000000000005,3.401524632902065,2.6631333333333336,3.007368791117418,3.215216174047819,1.0243546030199708,2.028
Malta,3.654000000000001,2.4327648704126608,1.202799233947838,3.659792882951218,3.015111111111111,1.51,2.701198135198135,2.1527954858341682,3.9509333333333334,2.4712,3.123137717538238,2.8813999999999997,4.262870902860329,4.108450351835384,2.310764734534827,3.8360000000000003
Mauritius,3.978,2.252958341991074,1.6224364904402537,2.960591042925771,2.766666666666666,1.5799999999999996,2.4593799533799534,2.5349126591235183,3.782133333333334,2.5396,3.1639831566723746,2.9434666666666667,4.034031068885583,3.014720109255986,1.6020457866536777,3.364
Mexico,3.5223999999999998,2.363914181523067,1.2380619809637592,2.782978647222426,3.1026666666666665,2.516,3.117367521367522,2.299475265170514,3.7016000000000004,3.426,2.9533297702026395,2.9281333333333333,3.916165582255448,2.6652176598424893,1.440818314661471,2.968
Moldova,3.4776000000000002,2.1078848704126614,1.41704653145523,2.6836923340429175,2.3884444444444446,1.7562,2.7118523698523695,1.9464706803790988,3.628,2.1881999999999997,3.0466680937700374,1.821,3.6016217518159728,3.0904176360997235,1.1729176814417925,2.94
Mongolia,3.3888,2.162599785415414,1.1221012245753381,2.429505427911946,2.428888888888889,1.7073999999999998,3.0484382284382283,2.046737232046609,3.3072,2.4448,3.1195537560411384,2.1738,3.3499193051808134,3.3981884677250953,1.1656113005358013,2.984
Montenegro,3.7211999999999996,2.2542869385924402,1.400612895419854,2.7466798225223683,2.6422222222222227,1.5785999999999998,2.8874265734265734,2.4519298934186273,3.6413333333333338,2.1836,3.1181153756672138,2.5354,3.904443841211039,2.8670910149743394,1.4203604481246956,3.1719999999999997
Morocco,3.5212000000000003,2.175444176344674,1.286963035184713,2.767552195225395,2.7906666666666666,1.6448,2.7245236985236985,1.9648074872955934,3.4218666666666664,3.0236,3.4587853324153652,2.5907333333333336,3.7811731961684987,2.7975587111613587,1.1368728689722358,2.7119999999999997
Netherlands,4.2432,2.805756219256034,2.113813286705258,3.674632728963273,3.7155555555555555,2.1916,2.672040404040404,2.765036543354244,4.370266666666667,3.61,3.634966160440271,3.8074000000000003,4.244323894218024,3.4243144193030117,3.572820263029713,4.332
New Zealand,4.4876000000000005,2.9039178037798075,2.029875297318799,3.4073263679887775,3.347555555555555,1.8401999999999998,2.844893550893551,2.7428751508406,4.2416,3.1038,3.3539475510468315,3.2898,4.401472138404747,3.119670222014009,3.059912323429128,4.236000000000001
Nigeria,3.0908,1.8787872147119458,1.2428943836258823,2.179274494930958,2.5608888888888894,1.4858000000000002,2.705400155400155,1.9669964882588973,2.9641333333333333,3.13,3.6010804192797594,2.7603333333333335,2.8500762864746156,2.424736704707099,1.0803701899659035,1.908
North Macedonia,3.7504,2.0525470113096427,1.1602540522176745,2.662419927084098,2.5879999999999996,1.6252,2.78224864024864,2.8701746470614338,3.5778666666666665,2.2692,2.9936975131813406,2.231,3.863299774477155,2.2614991542001723,1.2693619094008768,3.028
Norway,4.3352,3.253282476066423,2.289757460829466,3.61715172869412,3.4146666666666667,1.9452,2.292,2.365723967233187,4.334933333333333,3.2648,3.477658951525177,3.6580666666666666,4.542498689315137,3.2889589218710045,5.0,4.508
Oman,3.7244,2.4163101191597596,1.2266267570038432,2.92411711403101,3.1444444444444444,3.0238,2.6614809634809635,2.0268718452420393,3.781733333333333,3.0898,4.006234364477684,3.2540666666666667,3.902840438840335,2.4776236027837726,1.728202630297126,3.48
Pakistan,3.0911999999999997,2.316867214711946,1.2832513065391948,2.4240381625845178,3.011111111111111,1.7275999999999998,2.371776223776224,1.9463295678095125,2.9593333333333334,3.3470000000000004,3.21254987160923,2.8091333333333335,3.0287046713296664,2.797562680716494,1.0560155869459327,2.016
Panama,3.1971999999999996,2.0474499929249994,1.1227134586513752,2.8858741752102244,2.8000000000000003,1.4666000000000001,3.3476146076146076,2.2432474935895574,3.6304,2.8382,3.456224803411351,3.115,3.9151054878657185,3.2592433414437023,1.7096931320019484,3.124
Paraguay,3.0424,1.8425378640625951,1.1261656730385672,2.262264593375582,2.539111111111111,1.4282,3.1401724941724947,1.8394619798634277,3.3573333333333335,2.5836,3.5064390401999166,2.4776666666666665,3.9175509626661293,2.7000055136826555,1.2498782269849,2.768
Peru,3.3880000000000003,2.055444176344674,1.239264056673996,2.48110390108232,2.7755555555555556,1.8722,3.660879564879565,2.1325332891925406,3.456933333333333,2.9712,3.4294261263764874,2.667866666666667,3.8063858478982926,2.6860823448983675,1.3097905504140281,2.904
Philippines,3.3044000000000002,2.585662835052276,1.443920427811821,2.5318361104994005,3.224888888888889,2.1470000000000002,2.801437451437452,1.6954801850236239,3.518933333333333,3.2784,3.3896089605865645,2.7622,3.494491347878941,3.3437263099290946,1.169020944958597,2.7039999999999997
Poland,3.8508000000000004,2.56654251924355,1.5001221296398382,2.928297038505142,2.9279999999999995,2.5094000000000003,2.7818772338772337,2.1363387043665942,4.027466666666667,3.2642,2.9896471066430372,2.5366,4.014011272005948,3.2288953996714915,1.721870433511934,3.748
Portugal,3.9520000000000004,3.2600724177885025,1.6135905799780241,3.27056796104627,3.1999999999999997,2.4947999999999997,3.152004662004662,2.1252860143605017,4.1029333333333335,3.0898,3.037966779585961,2.893,4.078366823133395,2.797179333557094,2.105698977106673,3.852
Qatar,3.7511999999999994,2.743163348482708,1.2653405607209134,3.331374619719918,3.631555555555556,1.811,2.957459207459207,2.231575532385977,4.269866666666666,3.4375999999999998,3.7623358423787767,3.7439333333333336,3.9360597714073497,3.1653505855530626,4.070141256697516,3.772
Romania,3.806,2.220899423772007,1.4779388857826206,2.7570229513812428,2.7257777777777776,2.4014,2.6136938616938616,2.0407243660289245,3.938933333333333,2.9185999999999996,2.7580373940870047,2.097933333333333,3.995245110323025,3.366400707789853,1.596687773989284,3.32
Russian Federation,3.556399999999999,2.9698674811857986,2.115836599125717,2.7985590953208215,3.2408888888888883,4.1168,2.449285159285159,2.123488987780417,3.8822666666666663,3.4686,3.100671710573178,2.6064,3.8411687753535246,2.726908457552551,1.529956161714564,3.2640000000000002
Rwanda,3.8916000000000004,2.333299384667461,2.229212901087141,2.3641642891515167,2.964444444444444,1.2716,2.537272727272727,2.3625064502386945,2.983333333333333,2.3095999999999997,3.399679700310539,2.821066666666667,2.564127404148469,3.0071366238508945,1.0214320506575743,2.484
Saudi Arabia,3.4496,2.544199479043955,1.248875731268739,3.1002489743652486,3.344444444444445,1.98,4.086,2.1023895294089154,3.9182666666666663,3.6391999999999998,3.4042261475328637,3.489066666666667,3.5320862747685733,2.4707915166816785,2.0944958597174868,3.4
Senegal,3.1524,2.3057187152251406,1.290343955330773,2.4279939807678192,2.6791111111111108,1.2908,2.6050831390831393,1.7011323616103307,2.9483999999999995,2.3348,3.3373466647489836,2.6479999999999997,3.034201252081103,3.0552960778297225,1.0521188504627375,2.444
Serbia,3.6148000000000002,2.6181253686954045,1.8116175913301902,2.6993391649742673,2.6155555555555554,2.0682,3.0375306915306917,2.0455914783751017,3.583066666666667,2.4951999999999996,3.0161773713461955,2.099,3.598206481166912,2.8241265414605747,1.323429128105212,3.12
Singapore,4.5788,3.4644763867245443,2.143935174938423,3.6920660647434485,3.8124444444444436,3.0252,2.874893550893551,3.016825477931692,4.511466666666667,3.513,3.3530142177134974,3.9496666666666664,4.5264721752983474,3.761050364829913,3.884072089624939,4.248
Slovak Republic,3.7375999999999996,2.482857793023771,1.6469671371985166,3.1076528909442365,2.8875555555555557,1.813,2.584441336441336,2.1424320807668,3.965866666666667,2.7498,2.530123426750988,2.3318000000000003,4.055563545953218,2.876071020670708,1.9225523623964929,3.716
Slovenia,3.9748000000000006,3.7922810291708005,2.306367058402382,3.252746148262334,2.813777777777778,2.0066,3.231770007770008,2.0074824948855756,4.007066666666667,2.6933999999999996,3.1599489884752963,2.5186,4.102217441852988,3.1468412346154944,2.235752557233317,3.96
South Africa,3.4939999999999998,2.0851276066119433,1.648341581058704,2.8612779531348127,3.185333333333334,1.786,2.4340466200466198,2.0506171931450856,3.6945333333333337,3.2582,3.09779694489893,2.8680666666666665,3.2164440764394375,1.7229123627402836,1.2756941061860692,2.496
Spain,3.926800000000001,2.822386452488579,1.899158837637054,3.191019639987929,3.0773333333333337,3.83,3.1898057498057497,2.423850937778343,4.264933333333333,3.365,2.6145886668184115,2.8393333333333333,4.111115207370792,2.6756959563630045,2.461763273258646,3.9
Sri Lanka,3.1704000000000003,2.1796578640625954,1.2735922410968374,2.5394725749753277,2.7786666666666666,1.5256,2.823644133644134,2.0109258750434704,3.399600000000001,3.0702,3.610588380412688,2.7065333333333332,3.787958645660891,2.8779927275389787,1.1773015099853872,2.94
Sweden,4.251600000000001,3.739716660535418,2.571796000974194,3.699749027380166,3.6302222222222222,2.525,2.7447552447552446,2.601668235357175,4.518133333333334,3.3982,3.2503796041983013,3.4968000000000004,4.4691723114598005,3.093881465910503,3.7014125669751583,4.364
Switzerland,4.2036,3.9531592848394483,2.381268540659928,3.767206782646994,3.6204444444444444,2.484,2.594926184926185,2.8964575597810764,4.332666666666667,3.5794,3.1808666069722182,4.1388,4.404961915306543,3.0524680540779614,5.1461276181198246,4.476000000000001
Tanzania,3.1024000000000003,2.306998489321942,1.2203979132495109,2.1166666666666667,2.8706666666666667,1.4592,2.6535742035742036,2.0093717464271466,2.7468,2.7262,3.429791299568732,2.7544666666666666,2.8324770761992433,3.252124420524891,1.034096444227959,2.352
Thailand,3.722,2.444868962200391,1.516832081030481,2.784352084301875,3.224888888888889,2.29,2.528021756021756,2.2106745050324665,3.909333333333333,3.5246,3.3462417410656307,2.9952666666666667,3.7524773202765034,3.0931555985898846,1.3351193375547978,3.044
Tunisia,3.4024,2.41587931015546,1.551709847080256,2.5803342141965793,2.570222222222222,3.0476,2.8838585858585857,1.876979097095709,3.4624,2.6908000000000003,3.2680917939159486,2.2614,3.83006232625366,2.256849612817914,1.1451534339990257,2.888
Turkey,3.5292000000000003,2.154357266282492,1.544755401974462,2.847856215387376,3.0622222222222226,2.2922000000000002,3.6236829836829836,2.0844993387235458,3.8068000000000004,3.4224,3.5561843128296293,2.582533333333333,3.9435273766790373,2.759936943667345,1.4495859717486606,3.08
Ukraine,3.3252,2.3705138844821088,1.485274402971,2.6475996884354074,2.894666666666667,2.0831999999999997,3.241252525252525,2.050898365690729,3.590666666666667,3.0548,3.3187606829057774,2.2846666666666664,3.480829304438994,2.7526854580595055,1.1456405260594251,3.048
United Arab Emirates,4.0512,2.845786066911052,2.172233634065098,3.4399173048847125,3.6506666666666665,1.8084000000000002,3.30076519036519,3.183840537292634,4.499733333333334,3.5472,3.6179065822418397,4.056866666666667,3.9358247391887224,3.0444188953285614,3.098879688261081,3.7880000000000003
United Kingdom,4.339600000000001,3.34000834328648,1.9679838916688173,3.715226438947205,3.7093333333333334,3.966,2.8531919191919193,3.973914460285132,4.2860000000000005,3.8236,3.1563868282020415,3.8848666666666665,4.134732438176976,3.07924531832534,3.0452995616171457,4.044
United States,4.295999999999999,3.1991621419847434,3.7648656890354646,3.6067825328080776,4.2235555555555555,3.496,3.7225128205128204,7.08875594844099,4.2885333333333335,4.333,3.506774842444379,4.095,3.863438701860481,3.3359603907479842,4.184607890891378,4.052
Uruguay,3.7807999999999993,2.2341820921996076,1.464988534351864,2.8336980514978753,2.578222222222222,1.2428,3.046433566433566,2.0067018476094343,3.9259999999999997,2.7408,3.051111035960497,2.4826666666666664,4.489483320408996,2.605598321779124,1.7720409157330734,3.56
Vietnam,3.342,2.2923828350522757,1.4192964502440926,2.4145847382286494,3.0253333333333337,1.8466,2.51779797979798,2.147997643061529,3.9226666666666667,3.2479999999999998,3.257971571601219,2.8857333333333335,3.5246109562602244,3.5826626154470724,1.1052118850462738,3.008
Zambia,3.276,2.2704882816929297,1.330429176109478,2.1631111763602404,2.685777777777778,1.3756,2.655574203574204,2.0085923397719854,2.7638666666666665,2.3574,3.552991299568731,2.6334,2.6478923573053583,2.5288819055303278,1.0521188504627375,2.176
