Ciudad,País,Colab 0,Colab 1,Colab 2,Colab 3,Colab 4,Colab 5,Colab 6,Colab 7,Colab 8,Colab 9,Colab 10,Colab 11,Colab 12,Colab 13,Colab 14,Colab 10 rescaled,Ranking 0,Ranking 1,Ranking 2,Ranking 3,Ranking 4,Ranking 5,Ranking 6,Ranking 7,Ranking 8,Ranking 9,Ranking 10,Ranking 11,Ranking 12,Ranking 13,Ranking 14,Ranking Colab 10 Resc,Ranking Capitals 0,Ranking Capitals 1,Ranking Capitals 2,Ranking Capitals 3,Ranking Capitals 4,Ranking Capitals 5,Ranking Capitals 6,Ranking Capitals 7,Ranking Capitals 8,Ranking Capitals 9,Ranking Capitals 10,Ranking Capitals 11,Ranking Capitals 12,Ranking Capitals 13,Ranking Capitals 14,Ranking Capitals 10 Resc
CABA,Argentina,5.773442678862118,0.9218574805763633,0.11457400451876054,0.3550506069895965,0.25204006032003,0.9375504630325037,0.277218773218661,0.3225604012177793,0.36409870663951693,0.34396909863654834,0.4928501736833135,0.31424636859389143,0.31226454345491006,0.3880244407294421,0.4270031604944362,5.928501736833136,3,7,7,6,6,5,7,3,3,3,3,3,3,3,5,3,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CDMX,México,3.6361905472638205,0.817117924240975,-0.10580941933338261,0.25259325296767354,0.16518309782537388,0.9179155831038512,0.19720602734821258,0.2866591641402488,0.3089415273911488,0.30486814382744876,0.39766676137735846,0.26716737047825184,0.26696547306982277,0.3423056047160442,0.32026424876497245,4.976667613773585,9,10,10,11,11,10,11,7,8,9,10,9,9,9,10,10,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Santiago,Chile,5.571008675471697,0.9567478570975168,0.10300480208538731,0.3607242986703179,0.24769740408772767,1.0088632417129013,0.27110660420679256,0.3162153400853922,0.3573420925605959,0.3400559013740247,0.4809878106112869,0.3118259929304845,0.29394434479256426,0.36955844244299496,0.40775547442189936,5.809878106112869,4,4,8,5,8,4,8,4,4,4,4,4,6,5,6,4,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Montevideo,Uruguay,8.47125463111201,1.124531784014739,0.45258441859048537,0.45665116981261733,0.3875650855253491,1.0197035011864561,0.37389929622794876,0.3493548871278211,0.431910475724155,0.3851761568248526,0.588490113590689,0.36093714893308265,0.3606459197118286,0.4363805632076897,0.5027316729546272,6.88490113590689,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Madrid,España,4.256042609212872,0.8539046921247062,-0.06494276818681188,0.29793509490093134,0.20102348643914064,0.9372394201581791,0.22846547793265953,0.287950926962592,0.31662904653768775,0.30940505562597703,0.42624019959305354,0.2863493088950754,0.2783080000551332,0.3535613868976162,0.40364675508472847,5.262401995930535,6,9,9,9,9,6,9,6,6,8,8,7,8,8,7,8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Sao Paulo,Brasil,3.258518269517524,0.7936422931791174,-0.1880516096018467,0.2624527531780624,0.16878306058868053,0.9239941450309692,0.211308823230363,0.2559601636647448,0.2694237344756905,0.28457713453540845,0.38494425516208225,0.2508920385653848,0.2518736791560173,0.3261460001260278,0.2954878169556039,4.849442551620823,10,11,11,10,10,9,10,10,10,11,11,11,11,11,11,11,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
AGS,México,3.6605751703155427,0.9452911766596077,0.20237518358801432,0.3813146046514809,0.28696080348700265,0.9099161766596078,0.31971084173730707,0.26288346919156297,0.30324915371325684,0.3246092837159476,0.4616984469975343,0.30209196269978134,0.29481632922533196,0.3670880144141624,0.44018616937806576,5.6169844699753435,8,5,3,3,3,11,3,9,9,6,6,6,5,6,4,6,,,,,,,,,,,,,,,,
GDL,México,4.845969303063372,0.9412828306870735,0.16833630662290244,0.3727940858084724,0.2739642674722916,0.9267293547512446,0.29765483495765865,0.292898397341554,0.3379358438936813,0.3342268988834616,0.4773305145287289,0.3097950807016434,0.30302670719735475,0.3775816896395555,0.44131185864158096,5.7733051452872886,5,6,4,4,4,7,4,5,5,5,5,5,4,4,3,5,,,,,,,,,,,,,,,,
Pachuca,México,3.686996860738719,0.9921212750727367,0.1440412038983595,0.3263765115437507,0.2490750443975899,1.0626212750727366,0.2783758766372771,0.27283838798990645,0.3125634752083156,0.321532787180005,0.43970739731079034,0.2766039615572292,0.28384558365938833,0.35745230952804685,0.3319333967713307,5.397073973107903,7,3,5,8,7,1,6,8,7,7,7,8,7,7,9,7,,,,,,,,,,,,,,,,
Oaxaca,México,2.495120182304686,0.9166599934389714,0.13294684554538383,0.3273495989749658,0.2525980346846883,0.924770731694005,0.2856151042269785,0.2247979139170614,0.26210773675261856,0.29287895798399133,0.39942187721980926,0.26577052424905157,0.2581347954809482,0.3276236555821782,0.3856829191811554,4.994218772198092,11,8,6,7,5,8,5,11,11,10,9,10,10,10,8,9,,,,,,,,,,,,,,,,
Valencia,España,9.321964187186081,1.1431778519674838,0.4835976212768719,0.45922483280909654,0.3997996809729467,1.0392889630785949,0.39555556090385985,0.3778926945358957,0.45489987201871085,0.4073710527319262,0.6311819852269436,0.3824039042430957,0.3862078149812174,0.4623662502323838,0.5292130500524441,7.311819852269435,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
