Country,Region,Development Stage,1.01 Ease of doing business (WB),1.02 Starting a business (WB),1.03 Paying taxes (WB),1.04 Resolving Insolvency (WB),1.05 Enforcing contracts (WB),1.06 Property Rights (IEF),1.07 Government Integrity (IEF),1.08 Labor Freedom (IEF),1.09 Trade freedom (IEF),1.10 Corruption Perceptions Index (TI),2.01a Percentage of adults with a doctoral or equivalent level of education (OECD),2.01b Skillset of graduates (GCI 4.0),2.01c Ease of finding skilled employees (GCI 4.0),2.01d Researchers/Professionals engaged in R&D per million population (GII),"2.01e STEM Graduates per capita (OECD) - Natural sciences, mathematics and statistics",2.02a R&D expenditure as a % GDP (UNESCO),2.02b R&D expenditure in '000 current PPP$ (UNESCO),2.02c Public R&D Expenditure as % of GDP (UNESCO),2.02d Business R&D Expenditure as % GDP (UNESCO),2.03a Internet Bandwidth (GCI),2.03b Production Process Sophistication (GCI),2.03c Availability of latest technologies (GCI),2.03d ICT access (GII),2.04a Government procurement of advanced technology (GCI),2.04b University-industry research collaborations (GII),"2.04c Trade, Competition & Market scale (GII)",2.05a Research institutions prominence (GCI 4.0),2.05b Graduates in science & engineering (%) (GII),3.01a Entrepreneurship perceived capabilities (GEM),3.01b % school grads in tertiary education (GII),3.02a VC investment (WEF),3.02b Financing of SME's (GCI 4.0),3.02c Venture Capital Availability (GCI 4.0),3.02d Ease of Credit (GII),3.02e VC deals (GII),3.02f Venture Capital Deal Volume (WEF),3.03a Logistics performance (WB),3.03b Electricity (GCI 4.0),3.03c ICT Adoption (GCI 4.0),3.04a Buyer sophistication (GCI 4.0),3.04b Domestic Market Scale (GII),3.05a Entrepreneurial intentions (GEM),3.05b Fear of failure (GEM),3.05c Entrepreneurship as a Good Career choice (GEM),3.05d High Status to Successful Entrepreneurs (GEM),3.05e Business Freedom (IEF),3.05f Attitudes towards Entrepreneurial Risk (GCI 4.0),4.01 State of cluster development (GCI 4.0),4.02 Country capacity to attract and retain talent (WEF),5.01 Social Progress Index (SPI),5.02 Inclusive Development Index (IDI),5.03 Population below international poverty line (SDG 1 - No poverty),5.04 Prevalence of undernourishment (SDG 2 - Zero Hunger),"5.05 Carbon dioxide emissions per unit of GDP (SDG 9 - Industry, Innovation and Infrastructure)",5.06 Proportion of urban population living in slums (SDG 11 - Sustainable Cities and Communities),5.07 Annual population-weighted average mean concentration of fine suspended particles of less than 2.5 microns in diameter (SDG 11 - Sustainable Cities and Communities),5.08 Domestic material consumption per capita (SDG 12 - Responsible Consumption and Production),6.01 GDP per capita (IMF),6.02 Annual growth rate of real GDP per capita (SDG 8 - Decent Jobs and Economic Growth),6.03 Annual growth rate of GDP (WB),6.04 Unemployment rate of population 15 years of age and older (SDG 8 - Decent Jobs and Economic Growth),6.05 FDI inward flow as % of GDP (UNCTAD),GNI per capita (WB),SEDA Score (BCG),Power Distance Index (PDI),Individualism versus Collectivism (IDV),Masculinity versus Feminity (MAS),Uncertainty Avoidance Index (UAI),Long Term Orientation versus Short Term Normative Orientation (LTO),Indulgence versus Restraint (IVR)
New Zealand,East Asia and Pacific,Developed economies,86.8,100,91,69.5,71.5,93.3,93.9,86.7,92.2,87,1.14,63.48,52.47,49,21.29502584,1.3657,2647529.75,0.27,0.75,109.6,5.09,6.05,86.2,3.8,62.7,66.7,8.11,33.9,NA,64.7,29.3,65.18,54.81,100,25.4,5488.6,3.68,98.41,77.71,53.29,51.9,NA,NA,NA,NA,90.4,61.42,49.49,4.9,88.93,5.25,NA,2.5,0.19,NA,5.73113155,24.08026,41266.85,1.84,2.2,4.7,0.69,42670,80.9,22,79,58,49,33,75
Nigeria,Sub-Saharan Africa,Developing economies,56.9,86.2,53.7,30.6,61.5,38.1,22.3,84,62.4,27,NA,29.77,49.1,NA,NA,NA,NA,NA,NA,11.26,3.01,4.26,29.9,2.93,23.7,61.2,7.23,NA,NA,7.5,15.1,30.24,16.85,85,3.7,7342.2,2.59,74.17,33.39,36.9,69.6,NA,NA,NA,NA,54.7,69.81,46.35,3.5,49.2,3.08,53.5,11.5,0.09,50.2,48.7270241,3.43904,2049.11,-1.77,2.2,7.1,0.47,2030,22.7,NA,NA,NA,NA,13,84
North Macedonia,Europe and Central Asia,Economies in transition,80.7,88.6,84.7,72.7,66,62.5,42.2,67,86.2,37,NA,39.81,40.99,8.7,NA,0.36398,124024.59,0.04,0.11,NA,NA,NA,68.3,NA,29.2,53.8,0.76,30.5,60.87,32.1,NA,38.97,27.9,85,NA,NA,2.62,95.24,57.6,31.66,31.8,20.28,47.22,68.01,67.98,80.6,34.83,38.55,NA,68.92,4.1,5.2,4.1,0.26,NA,28.3436108,14.52329,6100.19,0.15,3.6,22.4,5.81,5910,50.7,NA,NA,NA,NA,62,35
Norway,Europe and Central Asia,Developed economies,82.6,94.3,85.1,85.4,81.3,84.3,95.6,57.4,83.8,84,1.11,66.12,70.6,77.6,20.49173638,2.06985,7215796.31,0.28,1.07,268.95,6.17,6.55,77.6,4.12,61.7,67.4,15.26,32,31.52,64.6,51,64.98,48.45,55,5.5,21358,3.74,98.5,83.12,54.34,58.9,5.74,30.24,66.74,93.49,86.1,53.43,64.57,5.1,90.95,6.08,0.2,2.5,0.11,NA,7.02302647,21.79506,81694.63,1.01,1.2,4.2,-4.19,82500,87.7,31,69,8,50,35,55
Oman,Middle East and North Africa,Developing economies,70,93.5,90.2,44,61.9,66.4,64.6,56.9,81.6,52,NA,58.49,59.13,2.8,NA,0.21961,439463.34,0.09,0.07,66.07,4.01,4.86,76.6,3.69,51,65,1.19,100,56.32,34.9,4.7,60.22,52.32,35,NA,341.2,3.16,96.52,58.11,52.69,51.8,62.91,40.78,85.34,85.67,74.6,53.52,59.37,4.2,69.08,NA,NA,5.4,0.37,NA,38.2489395,31.67344,19302.21,-5.45,0.5,3.3,5.07,15330,62,NA,NA,NA,NA,NA,NA
Pakistan,South Asia,Developing economies,61,89.3,52.9,59,43.5,48.3,29.7,41.3,64.8,33,NA,55.6,55.29,3.4,NA,0.23597,2575111.39,0.09,NA,16.64,3.7,4.72,35.1,3.78,44.5,60,15.22,NA,63.02,7.4,2.1,48.96,46.09,45,0.9,558.2,2.64,80.74,25.21,47.95,69.4,27.9,54.16,80.15,87.71,54.9,51.56,48.79,3.5,48.2,3.55,3.9,20.5,0.17,45.5,55.2106552,4.44557,1555.38,3.63,1,3.6,0.84,1530,25.4,55,14,50,70,50,0
Panama,Latin America and the Caribbean,Developing economies,66.6,92,46.7,39.5,49,58.8,37.2,43.3,79.2,37,NA,46.88,43.57,0.3,NA,0.14699,147724.79,0.04,NA,55.07,4.04,5.4,63.5,3.49,35.5,58,0.43,22.9,72.9,37,19.4,53.56,40.45,80,NA,1009.4,3.26,90.72,50.06,46.11,45.8,40.77,40.77,69.97,74.61,70.8,50.91,45.75,4.6,73.96,4.54,2.5,9.2,0.12,25.8,11.1830273,7.00776,15679.04,3.7,3,3.9,8.59,14950,53.1,95,11,44,86,NA,NA
Paraguay,Latin America and the Caribbean,Developing economies,59.1,76,64.1,42.1,61.6,44.7,29.6,29,75.4,29,NA,35.32,37.21,1.3,NA,0.14883,132574.28,0.05,NA,21.02,3.14,3.8,43.5,2.94,26.4,56.7,0.37,NA,NA,27.3,1.5,48.91,31.66,40,NA,42.9,2.7,88.62,45.68,35.08,44.1,NA,NA,NA,NA,60.9,50.73,35.55,3.3,67.2,4.19,1.2,11.2,0.11,17.6,11.1552019,7.80431,5898.82,2.96,0,4.6,1.45,5510,44.2,NA,NA,NA,NA,NA,NA
Peru,Latin America and the Caribbean,Developing economies,68.7,82.1,65.8,46.6,59.1,54.9,33.5,62.9,88.4,35,NA,42.48,44.02,NA,NA,0.12704,584926.44,NA,NA,33.31,3.49,4.31,50.8,2.75,31.9,72.1,2.41,41.2,71.8,54.8,24.7,43.77,34.98,75,2.6,4789.4,2.78,94.07,45.7,38.26,60.3,39.7,30.15,65.69,62.35,67.1,50.57,40.06,3.6,71.3,4.29,3.4,8.8,0.14,34.2,24.2704926,14.71163,7002.09,1.28,2.2,7.9,2.78,6740,47.6,64,16,42,87,25,46
Philippines,East Asia and Pacific,Developing economies,62.8,71.3,72.6,55.1,46,54.6,38.7,57.4,81.6,36,NA,66.41,67.11,2.1,NA,NA,NA,NA,NA,43.44,3.64,4.65,47.5,3.05,57.5,75.2,2.25,55.1,NA,27.5,12.7,48.4,42.66,5,1.1,3722.8,2.91,91.48,49.69,46.32,67.6,NA,NA,NA,NA,59.5,62.41,48.11,3.4,63.4,3.83,7.8,13.7,0.16,38.3,18.3807278,3.96257,3103.62,5.06,6,2.6,1.95,3850,42.6,94,32,64,44,27,42
Poland,Europe and Central Asia,Developed economies,76.4,82.9,76.4,76.5,64.4,63.1,64.6,62,86.4,60,0.56,44.53,51.57,36.3,22.86054744,1.21228,14430460.85,0.02,0.8,83.3,4.22,4.81,74,3.07,35.1,75,36.87,38.6,50.41,52.4,16,48.54,31.74,75,5.3,7975.1,3.5,99.15,65.41,43.31,69.9,6,45.86,77.65,76.95,62.6,47.64,46.83,2.8,81.25,4.61,0,2.5,0.31,NA,20.5415478,18.53677,15430.93,4.95,4.1,4.9,1.96,15200,68.7,68,60,64,93,38,29
Portugal,Europe and Central Asia,Developed economies,76.5,90.9,83.7,80.2,67.9,75.4,68.9,44.1,86.4,64,0.81,62.5,59.47,52.7,29.03208146,1.36552,4638977.26,0.08,0.69,177.81,4.59,6,80.3,3.52,54.5,68.5,18.84,55.9,61.43,49.5,60.2,47.55,40.62,45,2.1,12717.2,3.56,97.48,71.24,47.59,56.9,19.78,52.59,72.74,71.65,76.5,47.25,54.65,3.4,87.12,3.97,0.5,2.5,0.17,NA,7.87243509,7.31575,23186.27,1.3,2.2,8.9,2.31,23080,71.3,63,27,31,99,28,33
Qatar,Middle East and North Africa,Developing economies,68.7,86.1,99.4,38,54.6,66.9,64.6,65.9,81.6,62,NA,70.85,70.76,7.2,NA,0.50729,1786440.29,0.08,0.06,86.95,5.26,5.89,78.9,5.09,64.8,64.4,1.75,38.8,75.47,12.5,4.9,70.07,63.79,40,NA,852.7,3.5,98.96,83.78,64.08,57.8,45.25,45.17,82.1,87.09,71.1,64.33,65.53,5.3,69.37,NA,NA,NA,0.27,NA,90.3475113,49.86399,70779.52,-1.08,-0.2,0.1,-1.14,63410,69.3,NA,NA,NA,NA,NA,NA
Romania,Europe and Central Asia,Developed economies,73.3,87.7,85.2,59.1,72.2,72.5,55.1,63,86.4,47,NA,41.92,37.52,10.7,NA,0.5051,2774471.52,0.15,0.3,155.52,3.39,4.68,71.4,2.31,38.7,68.9,14.87,55.2,NA,37.6,7.6,44.33,27.47,80,0.3,1421.5,3.1,95.91,72.01,34.53,61.4,NA,NA,NA,NA,58.6,43.89,38.23,2,74.81,4.43,5.7,2.5,0.17,NA,14.2860174,12.01824,12285.2,7.48,4.1,4.9,2.45,12630,58,90,30,42,90,52,20
Russian Federation,Europe and Central Asia,Economies in transition,78.2,93.1,80.5,59.1,72.2,56.8,41.3,52.1,77.8,28,0.32,50.1,58.72,34.5,30.89920963,0.98988,40097987.11,0.34,0.55,51.89,3.88,4.41,74,3.38,49.6,78.8,94.74,61.1,35.62,64.5,23.9,38.08,29.29,80,0.1,37577.5,2.69,96.89,77.03,41.23,82.2,9.84,45.16,70.77,73.69,80.2,52.73,40.32,3.4,69.71,4.2,0,2.5,0.45,NA,13.7483168,16.29686,11326.77,1.53,1.3,5.2,0.82,11260,56.6,93,39,36,95,81,20
Rwanda,Sub-Saharan Africa,Least developed countries,76.5,93.2,84.6,57.2,69.1,76.5,57.6,81.8,70.4,56,NA,46.14,52.08,0,NA,0.66627,153803.29,0.52,0.05,7.45,3.44,5.07,27.8,4.71,41.5,44,0.38,13.2,NA,5.5,NA,52.17,44.36,95,9.2,NA,2.9,63.62,37.63,35.98,29.5,NA,NA,NA,NA,60.3,57.01,47.72,NA,52.96,3.24,55.5,36.1,NA,53.2,40.7478752,2.93884,791.339,3.58,9.4,17.4,4.19,820,37.1,NA,NA,NA,NA,18,37
Saudi Arabia,Middle East and North Africa,Developing economies,71.6,93.1,80.5,0,65.3,64.6,49.6,63.3,75.4,49,NA,60.11,67.03,NA,23.15074814,NA,NA,NA,NA,78.16,4.65,5.37,74.8,4.23,48,74,13,36,83,54.3,1.9,61.93,57.05,45,0.3,1305.8,3.08,97.57,69.3,57.76,74.2,32.32,41.78,69.68,79.32,66.6,58.31,66.12,4.5,63.95,NA,NA,5.5,0.33,18,78.3848648,24.96189,23566.38,-2.73,0.3,5.9,0.41,22850,60,NA,NA,NA,NA,36,52
Senegal,Sub-Saharan Africa,Least developed countries,59.3,91.2,51.2,44.3,50.6,52.4,40.6,38.1,65.4,45,NA,52.92,63.32,6.5,NA,NA,NA,NA,NA,4.98,3.39,4.87,38.4,3.51,39.8,44.3,0.38,NA,NA,8.3,5.9,43.25,27.4,30,NA,85.2,2.34,76.87,35.76,27.64,39.1,NA,NA,NA,NA,50.4,45.89,42.4,3.4,58.59,3.09,38,11.3,0.23,38.8,37.5172195,3.2192,1473.84,3.72,5.3,6.8,2.6,1450,36.1,NA,NA,NA,NA,NA,NA
Serbia,Europe and Central Asia,Economies in transition,75.7,89.3,75.3,67,63.1,55.4,44,66.9,78,39,NA,51.92,57.27,25.1,NA,0.92132,1119566.26,0.26,0.36,26.29,3.18,4.39,76.6,2.84,38.5,52,4.21,49.2,NA,52.3,3.9,49.13,35.93,65,NA,156.3,2.83,95.39,52.59,28.86,45.9,NA,NA,NA,NA,72.6,44.88,39.95,1.9,71.59,3.7,0.1,5.6,0.49,NA,24.2719383,11.75363,7243.4,2.39,4.2,13.5,7.82,7020,53,86,25,43,92,52,28
Singapore,East Asia and Pacific,Developing economies,86.2,98.2,91.6,74.3,84.5,96.8,92.4,90.9,94.8,85,NA,73.44,68.82,81.5,NA,1.94431,10535772.24,0.21,1.16,982.92,5.61,6.11,87.2,4.92,70,75.6,30.06,71.2,NA,66.2,76.1,69.77,63.48,75,50.2,22867.8,4.05,100,87.11,63.45,62.2,NA,NA,NA,NA,92.8,58.88,69.15,5.7,83.23,NA,NA,NA,0.1,NA,18.2553711,32.59289,64041.42,2.05,0.7,4.1,22.36,59590,81.2,74,20,48,8,72,46
Slovak Republic,Europe and Central Asia,Developed economies,75.6,84.8,80.6,65.5,66.1,73.1,49.7,52.6,86.4,50,0.91,46.38,40.45,33.8,21.15138593,0.83252,1538056.79,0.18,0.45,52.35,4.77,5.38,73.9,3.2,38.3,66.6,6.85,33.8,53.05,37.4,7.3,52.94,43.65,70,1.1,672.8,3.14,99.75,69.19,36.09,51.4,13.62,43.71,42.35,58.43,55.3,44,46.59,2.2,80.43,4.9,0.7,2.7,0.19,NA,17.5440407,9.91878,19581.58,3.12,2.4,8.1,0.45,19320,67.9,100,52,100,51,77,28
Slovenia,Europe and Central Asia,Developed economies,76.5,93,83.3,84.4,54.8,76.5,67.4,61.4,86.4,60,3.82,58.58,54.37,54.1,25.02341202,1.94221,1534198.89,0.26,1.44,239.17,4.67,5.72,80.6,2.64,47.1,61.6,5.63,44.7,57.46,61.2,21.7,54,37.94,45,3.1,985.3,3.29,99.11,69.17,42.87,41.8,14.98,42.23,63.45,84.04,78.4,43.57,45.93,2.8,85.8,4.93,0,2.5,0.23,NA,15.8143816,13.34005,26234.27,4.77,2.4,6.6,2.62,25750,74,71,27,19,88,49,48
South Africa,Sub-Saharan Africa,Developing economies,67,81.2,81.2,54.6,56.9,58.4,46.6,58.8,75.8,43,NA,44.5,49,5.6,19.59418708,0.83215,6386414.91,0.19,0.34,263.03,4.46,5.16,53.8,3.43,54.2,69.2,12.9,26.4,60.35,15.7,27,43.76,34.19,60,4,8681.9,3.51,89.67,49.67,47.21,65.7,11.9,49.79,78.84,82.16,62,54.48,55.07,3.3,67.4,2.94,18.9,6.1,0.62,23,23.5793686,11.28097,6377.29,0.07,0.2,27.3,1.45,6040,37.4,NA,NA,NA,NA,34,63
Spain,Europe and Central Asia,Developed economies,77.9,86.9,84.7,79.2,70.9,74.9,55.1,57.7,86.4,58,0.71,58.04,60.47,34.7,23.93157316,1.237,23070012.69,0.21,0.7,113,4.75,5.43,80.5,3.1,42.2,78.6,100,41.5,50.82,72,49.8,54.25,47.12,60,11.8,63073.6,3.78,97.16,78.21,43.95,74.3,7.41,48.21,57.33,57.85,66.8,46.01,55.3,3.2,87.47,4.4,1,2.5,0.16,NA,9.47923756,7.70944,30697.26,2.96,2,17.2,3.06,30390,72.5,57,51,42,86,48,44
Sri Lanka,South Asia,Developing economies,61.8,88.2,59.8,45,41.2,47.7,34.7,58.6,67.6,38,NA,57.34,57.53,1.1,NA,NA,NA,NA,NA,22.04,3.88,4.35,49.7,3.31,37.9,57,2.26,NA,NA,14.5,33,51.81,38.49,40,4.1,2651.2,2.65,98.45,40.27,47.71,55.8,NA,NA,NA,NA,76.5,53.84,48.66,3.2,69.09,3.79,0.8,10.9,0.09,NA,15.2494812,5.14398,4067.85,2.92,2.3,4.2,1.82,4020,48.5,NA,NA,NA,NA,NA,NA
Sweden,Europe and Central Asia,Developed economies,82,93.1,85.3,79.5,67.6,88.8,91.4,53.8,86.4,85,1.65,69.81,63.66,88.1,26.61523873,3.33937,17929424.98,0.12,2.37,505.65,6.15,6.47,82.7,4.19,71.8,72.3,27.15,49.1,50.69,50,62.5,62.31,56.36,55,27,32918.6,4.07,99.33,87.78,57.91,62,10.93,42.92,62.66,78.72,85.3,67.49,64.84,4.6,89.45,5.76,0.5,2.5,0.08,NA,5.88808203,16.90837,53873.38,1.35,1.2,6.7,2.02,55840,84.1,31,71,5,29,53,78
Switzerland,Europe and Central Asia,Developed economies,76.6,88.4,87.7,62.6,64.1,87.4,90.1,72.4,86.6,85,3.16,81.45,65.36,63.7,24.69674301,3.37286,18899964.3,0.03,2.34,269.22,6.53,6.52,87.1,3.69,79.1,72.6,30.9,43.3,49.15,45.5,93.7,66.1,56,60,39.5,63522.8,3.91,98.62,78.58,66.87,62.1,10.74,23.87,40.23,76.18,74.2,59.12,71.94,6.1,89.89,6.05,0,2.5,0.08,NA,10.2132988,13.71868,82950.28,0.73,0.9,4.8,-12.28,85500,86.9,34,68,70,58,74,66
Tanzania,Sub-Saharan Africa,Least developed countries,54.5,74.4,51.3,39.1,61.7,41.9,32.5,66.4,67.8,36,NA,50.7,54.9,0.1,NA,NA,NA,NA,NA,1.74,3.31,3.83,26,3.49,45.7,53.1,1.62,NA,NA,2.5,5.4,48.2,34.4,65,1.2,252.6,2.88,60.27,23.74,35.71,50.6,NA,NA,NA,NA,45.9,49.79,49.39,3.3,52.69,3.43,49.1,32,0.08,50.7,25.5888233,3.18758,1133.53,3.87,5.8,2.1,1.88,1080,33.8,NA,NA,NA,NA,34,38
Thailand,East Asia and Pacific,Developing economies,80.1,92.4,77.7,76.8,67.9,59.5,43.4,63.7,83,36,NA,49.69,50.4,14.5,NA,1.00403,12450502.41,0.05,0.8,49.24,4.32,4.92,56.8,3.44,52.2,74,11.9,52.6,50.98,38.6,10,58.73,46.11,70,0.9,4028.3,3.36,99.05,60.15,55.43,70.8,31.51,58.92,80.1,80.87,83,58.07,51.43,3.9,67.47,4.24,0,9,0.23,25,26.228138,12.73327,7187.19,3.65,2.4,0.7,2.08,7260,51.1,64,20,34,64,32,45
Tunisia,Middle East and North Africa,Developing economies,68.7,94.6,69.4,54.2,58.4,56.4,39.7,49.8,66.4,43,NA,42.61,50.09,23.7,NA,0.59997,866196.92,NA,NA,31.17,3.44,4.58,57.1,2.63,38.2,52.4,4.38,98,NA,24.9,1.1,39.95,29.03,50,12.2,48,2.59,94.01,50.92,36.04,48.5,NA,NA,NA,NA,78.1,44.61,38.07,2.5,72.33,3.82,0.3,4.9,0.21,8,35.6555252,9.30671,3423.18,0.82,1,15.4,2.59,3360,47.2,NA,NA,NA,NA,NA,NA
Turkey,Europe and Central Asia,Developing economies,76.8,88.8,86.6,38.5,71.4,57.4,44.6,49.2,78,41,0.39,44.43,48.69,16.7,18.87865554,0.96105,21729494.51,0.09,0.55,68.06,4.19,4.91,65.1,3.35,37,78.5,33.41,31.2,56.84,82,8.1,49.64,32.38,75,0,7175.1,3.29,95.44,57.82,44.72,76.4,29.73,28.1,80.79,66.09,67,55.41,47.46,2.9,67.49,4.26,0.2,2.5,0.18,11.9,41.970211,18.49543,9346.23,5.8,0.9,10.8,1.69,9610,52,66,37,45,85,46,49
Ukraine,Europe and Central Asia,Economies in transition,70.2,91.1,78.1,31.4,63.6,47.5,37.9,48.3,81.2,32,NA,54.48,56.7,13.4,NA,0.47134,1839572.41,0.16,0.28,79.88,3.72,4.08,66.5,2.98,41.3,67.8,11.76,42.4,NA,65.8,15.5,39.19,33.66,75,1.7,1643.5,2.83,96.7,51.85,44.04,58.7,NA,NA,NA,NA,61.3,62.41,40.9,2.4,66.97,3.42,0.1,3.3,0.62,NA,18.2873363,12.49056,2963.47,3.02,3.2,9.5,1.89,3370,51.2,NA,NA,NA,NA,86,14
United Arab Emirates,Middle East and North Africa,Developing economies,80.9,94.8,85.3,49.3,75.9,80.3,64.6,81.3,80.4,70,NA,68.06,69.1,29.1,NA,1.30316,9405853.95,0.33,0.81,133.75,5.25,6.14,84.8,5.47,55.7,68.6,4.22,36.2,62.16,NA,196.8,66.2,63.87,70,9.9,72794.2,3.89,98.36,91.87,62.36,65,38.5,41.73,70.34,79.02,78.6,66.92,69.51,6,69.84,NA,NA,2.5,0.31,NA,39.4424133,22.48572,40711.45,-0.61,1.7,2.5,2.45,43470,69.7,NA,NA,NA,NA,NA,NA
United Kingdom,Europe and Central Asia,Developed economies,83.5,94.6,86.2,80.3,68.7,92.2,89.9,73.1,86.4,80,1.36,62.25,67.51,53,26.31979621,1.72412,52146292.97,0.11,1.19,449.14,5.87,6.3,92.9,3.91,72.7,82,100,48.3,55.18,46.7,146.3,62.57,57.93,75,76.3,413438.1,4.01,98.21,72.99,62.08,79.1,7.62,44.49,56.38,76.67,94.7,65.34,65.91,5.7,87.98,4.89,0.2,2.5,0.15,NA,10.5254459,7.78539,42558,1.14,1.4,4.3,2.29,42370,76.1,35,89,66,35,51,69
United States,North America,Developed economies,84,91.6,86.8,90.5,73.4,81.8,77.2,87.9,79.8,71,1.97,71.2,72.06,51.5,17.92021195,2.83766,581553000,0.29,2.06,126.55,5.94,6.46,84.8,5.09,80.9,92.7,100,24.8,65.51,70.1,117.9,74.77,70.58,95,100,2121482,3.92,99.29,74.35,68.75,97.9,13.68,35.1,67.87,79.66,83.3,75.88,74.75,5.8,83.62,4.6,1.2,2.5,0.29,NA,7.39534378,18.60373,62605.59,1.5,2.3,4.4,1.22,65760,76.3,40,91,62,46,26,68
Uruguay,Latin America and the Caribbean,Developing economies,61.5,89.6,70.3,53.6,56.3,72,73.5,71,77.4,70,NA,54.44,51.97,8,NA,0.48393,377987.39,0.17,0.12,96.71,3.53,4.85,75.1,2.84,34.9,52.8,0.44,11.7,58.97,49,1.8,50.13,35.96,60,NA,97.6,2.78,95.22,79.73,44.54,42.5,24.21,27.39,54.68,49.56,73.6,41.46,40.8,3,77.77,4.46,0.1,2.5,0.09,NA,8.62975025,34.47499,17164.89,2.28,0.2,7.9,-1.05,16230,64,61,36,38,98,26,53
Vietnam,East Asia and Pacific,Developing economies,69.8,85.1,69,38,62.1,52.6,33.8,62.5,79.6,33,NA,41.25,49.31,8.4,NA,0.52674,3417199.17,0.11,0.38,91.25,3.49,3.96,48.8,3.64,38.6,69.3,4.23,38.1,NA,21.9,14,43.73,37.79,75,8.1,2712.8,3.16,96.17,69.03,47.8,64.6,NA,NA,NA,NA,65.6,48.47,52.62,3.5,NA,3.98,2,10.8,0.35,27.2,29.6553211,10.98522,2551.12,5.73,7,1.9,6.34,2540,50.2,70,20,40,30,57,35
Zambia,Sub-Saharan Africa,Least developed countries,66.9,84.9,88.9,49.3,50.8,45.2,28.4,47,72.6,35,NA,45.98,62.69,0.3,NA,NA,NA,NA,NA,3.92,3.13,3.98,31.1,3.48,31.6,53.5,0.42,NA,NA,2.6,10.5,34.4,13.39,95,3.3,237.5,2.49,60.81,34.23,26.57,41.3,NA,NA,NA,NA,66.4,47.77,41.67,3.4,NA,2.99,57.5,44.5,0.06,54,24.7032299,8.40045,1416.72,0.48,1.7,7.9,2.11,1450,29.4,NA,NA,NA,NA,30,42
Worst performance (1),,,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,14.72914123,0.028,17455.33,0.01,0.01,1.74,1,1,0,1,0,0,0,0,31.52,0,0.4,0,0,0,0,4.8,1,0,0,0,0,4.34,58.92,24.6,20.69,0,0,0,1,0,1,76.6,43.1,0.62,73.9,79.2780685,1.75059,351.14,-5.44,-2.2,22.4,-12.28,380,0,0,0,0,0,0,0
Frontier (5),,,100,100,100,100,100,100,100,100,100,100,3.16,100,100,100,31.72857327,4.81009,554327829.3,0.48,3.86,4906.02,7,7,100,7,100,100,100,100,83,100,196.8,100,100,100,100,413438.1,5,100,100,100,100,61.58,16.63,94.41,92.42,100,100,100,7,100,7,0,2.5,0.07,8,5.77936554,41.33518,82950.28,7.48,8.3,0.2,22.36,82500,100,100,100,100,100,100,100